episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,33.17,0.0,100.0,668.6,4.0,37.38,0.75,0.06
2,65.88,0.0,100.0,341.84,4.0,40.68,0.75,0.06
3,43.9,0.0,100.0,561.42,2.04,41.11,0.73,0.07
4,58.57,0.0,100.0,414.86,4.0,42.53,0.75,0.06
5,58.27,0.0,100.0,417.9,8.0,19.61,0.75,0.07
6,40.53,0.0,100.0,595.12,4.0,36.86,0.75,0.06
7,44.41,0.0,100.0,556.35,4.0,38.64,0.75,0.07
8,80.19,0.0,100.0,198.95,4.0,41.23,0.75,0.11
9,72.62,0.0,100.0,274.56,4.0,38.15,0.75,0.06
10,61.19,0.0,100.0,388.7,4.0,37.07,0.75,0.07
11,52.77,0.0,100.0,472.81,4.0,44.54,0.75,0.07
12,54.23,0.0,100.0,458.19,2.16,43.2,0.68,0.09
13,47.96,0.0,100.0,520.84,7.0,21.46,0.53,0.07
14,89.24,0.0,100.0,108.49,2.18,30.37,0.73,0.07
15,82.6,0.0,100.0,174.8,4.0,37.44,0.75,0.07
16,65.34,0.0,100.0,347.3,4.0,38.79,0.75,0.08
17,61.45,0.0,100.0,386.07,2.18,34.88,0.73,0.07
18,78.44,0.0,100.0,216.42,3.31,27.72,0.51,0.07
19,62.08,0.0,100.0,379.79,4.0,32.62,0.75,0.06
20,71.15,0.0,100.0,289.22,4.0,42.44,0.75,0.06
21,62.08,0.0,100.0,379.79,8.0,17.97,0.75,0.07
22,63.57,0.0,100.0,364.98,1.95,35.9,0.54,0.07
23,60.71,0.0,100.0,393.53,2.98,30.85,0.69,0.08
24,60.36,0.0,100.0,397.04,4.0,36.99,0.75,0.08
25,59.72,0.0,100.0,403.35,3.66,27.05,0.5,0.08
26,64.93,0.0,100.0,351.32,4.0,38.83,0.75,0.07
27,33.26,0.03,97.0,688.31,2.0,38.82,0.75,0.09
28,70.39,0.0,100.0,296.84,3.17,26.71,0.53,0.06
29,49.49,0.0,100.0,505.59,4.0,42.2,0.75,0.06
30,50.97,0.0,100.0,490.82,2.4,28.22,0.61,0.06
31,67.64,0.0,100.0,324.3,4.0,36.78,0.75,0.06
32,45.19,0.0,100.0,548.54,2.96,33.15,0.56,0.07
33,38.63,0.0,100.0,614.04,2.08,37.63,0.72,0.07
34,72.19,0.0,100.0,278.86,3.17,29.99,0.53,0.07
35,57.32,0.0,100.0,427.39,6.4,23.06,0.5,0.08
36,88.89,0.0,100.0,111.97,2.18,37.51,0.72,0.07
37,59.55,0.0,100.0,405.09,4.0,37.09,0.75,0.08
38,76.94,0.0,100.0,231.34,3.26,29.0,0.67,0.07
39,71.14,0.0,100.0,289.27,2.24,38.55,0.72,0.07
40,72.67,0.0,100.0,273.99,4.0,37.09,0.75,0.07
41,63.64,0.0,100.0,364.26,4.0,40.85,0.75,0.07
42,58.1,0.0,100.0,419.61,5.35,26.23,0.54,0.06
43,54.89,0.05,95.0,475.34,1.23,38.21,0.59,0.1
44,64.6,0.0,100.0,354.68,2.1,37.62,0.71,0.08
45,55.71,0.0,100.0,443.47,2.02,38.25,0.74,0.08
46,41.03,0.0,100.0,590.11,8.0,18.57,0.75,0.11
47,58.74,0.0,100.0,413.14,4.0,45.05,0.75,0.09
48,50.04,0.0,100.0,500.09,2.3,37.92,0.71,0.12
49,82.98,0.0,100.0,170.99,2.36,40.3,0.7,0.22
50,54.87,0.0,100.0,451.86,3.03,27.46,0.53,0.35
51,73.71,0.0,100.0,263.62,5.8,23.97,0.54,0.23
52,46.96,0.0,100.0,530.89,4.0,36.05,0.75,0.26
53,67.46,0.0,100.0,326.05,5.2,24.75,0.55,0.25
54,45.29,0.0,100.0,547.5,1.96,41.82,0.53,0.19
55,42.12,0.0,100.0,579.19,4.0,40.37,0.75,0.15
56,44.25,0.0,100.0,557.91,4.0,41.31,0.75,0.16
57,66.49,0.0,100.0,335.8,4.0,41.33,0.75,0.25
58,60.82,0.0,100.0,392.44,4.0,41.07,0.75,0.08
59,71.31,0.0,100.0,287.66,4.0,34.62,0.75,0.13
60,53.81,0.0,100.0,462.48,2.84,29.89,0.7,0.1
61,63.08,0.0,100.0,369.86,2.14,39.38,0.69,0.12
62,58.68,0.0,100.0,413.79,1.65,34.39,0.5,0.11
63,52.53,0.0,100.0,475.21,2.96,28.28,0.55,0.11
64,44.99,0.0,100.0,550.51,3.31,28.58,0.55,0.13
65,34.89,0.0,100.0,651.49,2.18,39.68,0.73,0.07
66,35.62,0.0,100.0,644.16,4.0,40.05,0.75,0.07
67,66.49,0.05,95.0,353.39,1.29,40.29,0.52,0.07
68,68.47,0.0,100.0,315.94,2.06,39.79,0.73,0.07
69,54.9,0.0,100.0,451.54,4.0,32.4,0.75,0.07
70,46.11,0.0,100.0,539.39,2.3,39.07,0.71,0.07
71,71.87,0.0,100.0,282.04,8.0,19.28,0.75,0.06
72,75.09,0.0,100.0,249.84,4.0,41.55,0.75,0.07
73,86.08,0.0,100.0,140.01,8.0,20.0,0.75,0.06
74,62.11,0.0,100.0,379.5,4.0,37.92,0.75,0.06
75,58.87,0.0,100.0,411.91,2.42,37.25,0.69,0.07
76,60.62,0.0,100.0,394.45,4.0,41.57,0.75,0.07
77,70.53,0.0,100.0,295.38,1.69,37.57,0.58,0.06
78,44.19,0.0,100.0,558.5,1.93,36.14,0.52,0.07
79,58.53,0.0,100.0,415.33,2.06,42.42,0.74,0.07
80,45.9,0.0,100.0,541.47,2.08,40.1,0.52,0.11
81,61.33,0.0,100.0,387.32,2.14,40.32,0.52,0.14
82,64.92,0.0,100.0,351.42,2.96,30.9,0.55,0.11
83,48.79,0.0,100.0,512.57,1.87,39.05,0.55,0.12
84,63.22,0.0,100.0,368.42,2.6,39.48,0.68,0.12
85,73.6,0.0,100.0,264.7,6.55,18.87,0.51,0.1
86,57.04,0.0,100.0,430.18,2.14,36.84,0.72,0.09
87,52.59,0.05,95.0,499.55,2.0,39.72,0.75,0.17
88,57.55,0.0,100.0,425.03,2.06,34.42,0.72,0.2
89,55.42,0.0,100.0,446.36,8.0,17.98,0.75,0.23
90,55.05,0.0,100.0,450.07,2.54,32.26,0.68,0.11
91,89.6,0.0,100.0,104.94,4.0,38.8,0.75,0.18
92,66.69,0.0,100.0,333.75,2.98,32.02,0.69,0.23
93,67.84,0.0,100.0,322.29,4.0,36.63,0.75,0.22
94,57.98,0.0,100.0,420.81,1.6,35.27,0.48,0.21
95,66.78,0.0,100.0,332.83,3.24,29.61,0.53,0.16
96,80.5,0.0,100.0,195.79,4.0,40.33,0.75,0.2
97,69.14,0.34,66.0,468.05,1.0,29.91,0.75,0.2
98,61.72,0.0,100.0,383.4,8.0,19.26,0.75,0.22
99,61.29,0.0,100.0,387.71,2.1,44.43,0.71,0.2
100,72.16,0.0,100.0,279.16,4.0,37.88,0.75,0.17
101,73.34,0.0,100.0,267.38,4.0,41.94,0.75,0.23
102,65.86,0.0,100.0,342.01,6.25,28.63,0.53,0.22
103,32.66,0.0,100.0,673.71,2.98,34.98,0.69,0.25
104,56.82,0.0,100.0,432.39,2.96,28.0,0.56,0.23
105,57.15,0.0,100.0,429.09,2.12,34.45,0.73,0.24
106,53.36,0.0,100.0,466.95,2.04,38.19,0.73,0.33
107,62.64,0.0,100.0,374.21,1.87,43.46,0.55,0.29
108,61.9,0.07,93.0,410.26,2.0,38.75,0.75,0.24
109,44.19,0.0,100.0,558.58,2.36,33.15,0.7,0.27
110,49.62,0.0,100.0,504.27,8.0,20.38,0.75,0.24
111,70.21,0.0,100.0,298.6,6.4,23.66,0.52,0.23
112,47.0,0.0,100.0,530.48,16.0,9.82,0.75,0.18
113,63.05,0.0,100.0,370.1,3.24,34.62,0.54,0.1
114,53.77,0.0,100.0,462.88,4.0,35.82,0.75,0.09
115,35.79,0.0,100.0,642.44,4.0,38.4,0.75,0.1
116,39.72,0.0,100.0,603.23,1.96,41.81,0.53,0.09
117,66.04,0.0,100.0,340.27,2.1,38.5,0.71,0.1
