episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,69.16,0.0,100.0,309.06,8.0,15.19,0.75,0.08
2,48.24,0.0,100.0,518.07,8.0,16.08,0.75,0.08
3,72.7,0.0,100.0,273.7,16.0,8.15,0.75,0.09
4,40.41,0.0,100.0,596.27,16.0,8.15,0.75,0.08
5,41.8,0.0,100.0,582.4,5.35,20.03,0.56,0.08
6,62.0,0.0,100.0,380.65,16.0,9.7,0.75,0.1
7,52.42,0.0,100.0,476.37,2.56,31.53,0.72,0.09
8,58.61,0.0,100.0,414.47,2.02,35.97,0.52,0.08
9,38.34,0.0,100.0,617.01,4.0,30.93,0.75,0.09
10,59.99,0.0,100.0,400.72,2.06,30.09,0.74,0.08
11,51.29,0.0,100.0,487.6,4.0,36.87,0.75,0.08
12,53.79,0.0,100.0,462.67,2.16,36.34,0.68,0.11
13,49.71,0.0,100.0,503.41,4.0,32.11,0.75,0.1
14,64.39,0.0,100.0,356.79,16.0,7.04,0.75,0.09
15,42.95,0.0,100.0,570.97,8.0,15.19,0.75,0.1
16,48.12,0.0,100.0,519.25,2.54,31.4,0.68,0.08
17,63.21,0.0,100.0,368.57,8.0,18.94,0.75,0.08
18,62.54,0.0,100.0,375.19,16.0,8.72,0.75,0.09
19,42.79,0.0,100.0,572.57,16.0,7.71,0.75,0.14
20,83.55,0.0,100.0,165.31,16.0,10.01,0.75,0.17
21,57.91,0.0,100.0,421.47,8.0,15.95,0.75,0.11
22,58.28,0.0,100.0,417.74,16.0,8.61,0.75,0.08
23,50.1,0.0,100.0,499.55,16.0,8.18,0.75,0.08
24,33.91,0.0,100.0,661.25,4.0,33.35,0.75,0.08
25,42.5,0.0,100.0,575.45,8.0,17.7,0.75,0.09
26,77.08,0.0,100.0,230.0,16.0,8.58,0.75,0.08
27,61.71,0.03,97.0,395.32,2.0,32.65,0.74,0.1
28,53.8,0.0,100.0,462.59,8.0,16.81,0.75,0.08
29,50.9,0.0,100.0,491.5,16.0,9.07,0.75,0.08
30,41.03,0.0,100.0,590.12,2.42,29.0,0.72,0.08
31,38.01,0.0,100.0,620.3,4.0,28.2,0.75,0.08
32,32.57,0.0,100.0,674.64,16.0,9.71,0.75,0.09
33,67.29,0.0,100.0,327.75,4.0,35.03,0.75,0.08
34,56.4,0.0,100.0,436.59,8.0,16.97,0.75,0.08
35,58.6,0.0,100.0,414.57,4.0,31.89,0.75,0.11
36,64.66,0.0,100.0,354.07,16.0,8.81,0.75,0.1
37,59.63,0.0,100.0,404.32,1.87,33.98,0.55,0.11
38,73.25,0.0,100.0,268.24,16.0,9.09,0.75,0.08
39,70.54,0.0,100.0,295.28,2.36,34.15,0.71,0.08
40,47.48,0.0,100.0,525.71,16.0,8.05,0.75,0.08
41,74.69,0.0,100.0,253.86,16.0,9.73,0.75,0.08
42,47.92,0.0,100.0,521.23,2.42,30.14,0.72,0.09
43,80.33,0.05,95.0,207.83,1.26,35.04,0.57,0.08
44,62.03,0.0,100.0,380.36,4.0,34.21,0.75,0.08
45,49.46,0.0,100.0,505.88,16.0,7.99,0.75,0.09
46,41.03,0.0,100.0,590.09,5.65,19.79,0.55,0.08
47,66.4,0.0,100.0,336.66,8.0,19.34,0.75,0.09
48,79.37,0.0,100.0,207.12,2.7,30.82,0.71,0.09
49,58.92,0.0,100.0,411.41,16.0,9.86,0.75,0.09
50,56.56,0.0,100.0,434.99,16.0,9.59,0.75,0.09
51,40.47,0.0,100.0,595.74,8.0,15.56,0.75,0.09
52,57.98,0.0,100.0,420.77,4.0,31.01,0.75,0.08
53,48.29,0.0,100.0,517.54,4.0,31.25,0.75,0.08
54,67.93,0.0,100.0,321.42,16.0,8.67,0.75,0.09
55,74.34,0.0,100.0,257.31,8.0,16.65,0.75,0.09
56,71.21,0.0,100.0,288.65,8.0,17.4,0.75,0.1
57,66.83,0.0,100.0,332.35,16.0,8.85,0.75,0.09
58,70.21,0.0,100.0,298.61,2.08,40.17,0.72,0.09
59,77.44,0.0,100.0,226.4,2.16,29.7,0.69,0.08
60,50.15,0.0,100.0,498.97,16.0,9.09,0.75,0.08
61,70.72,0.0,100.0,293.54,8.0,17.79,0.75,0.08
62,56.22,0.0,100.0,438.31,4.0,33.15,0.75,0.09
63,71.52,0.0,100.0,285.49,8.0,15.07,0.75,0.1
64,47.79,0.0,100.0,522.55,4.0,31.79,0.75,0.08
65,46.37,0.0,100.0,536.76,16.0,9.1,0.75,0.09
66,63.84,0.0,100.0,362.25,4.0,32.97,0.75,0.11
67,57.4,0.05,95.0,448.95,2.0,35.78,0.75,0.08
68,77.78,0.0,100.0,222.96,2.18,31.88,0.73,0.09
69,59.09,0.0,100.0,409.69,4.0,29.28,0.75,0.11
70,72.21,0.0,100.0,278.59,16.0,8.95,0.75,0.08
71,68.62,0.0,100.0,314.52,8.0,15.64,0.75,0.08
72,75.81,0.0,100.0,242.7,2.36,34.52,0.71,0.09
73,74.43,0.0,100.0,256.45,8.0,16.46,0.75,0.09
74,77.09,0.0,100.0,229.83,2.14,31.93,0.69,0.08
75,53.81,0.0,100.0,462.46,16.0,9.31,0.75,0.09
76,48.91,0.0,100.0,511.39,5.8,20.53,0.52,0.08
77,53.35,0.0,100.0,467.06,8.0,17.9,0.75,0.08
78,57.32,0.0,100.0,427.39,8.0,15.58,0.75,0.09
79,91.1,0.0,100.0,89.91,3.38,27.52,0.51,0.1
80,32.05,0.0,100.0,679.81,8.0,17.5,0.75,0.08
81,52.73,0.0,100.0,473.2,2.14,35.49,0.7,0.08
82,53.1,0.0,100.0,469.51,2.24,31.58,0.72,0.1
83,50.28,0.0,100.0,497.66,16.0,9.86,0.75,0.1
