episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,53.33,0.0,100.0,0.0,100.0,0.0,499.1,8.0,31.97,0.75,0.07
2,0.0,0.0,100.0,0.0,100.0,0.0,124.2,16.0,17.49,0.75,0.06
3,53.33,0.0,100.0,0.0,100.0,0.0,518.07,8.0,31.0,0.75,0.06
4,80.0,0.0,100.0,0.0,100.0,0.0,524.4,4.0,65.64,0.75,0.08
5,0.0,0.0,100.0,0.0,100.0,0.0,388.0,16.0,17.97,0.75,0.07
6,0.0,0.0,100.0,0.0,100.0,0.0,509.9,16.0,18.64,0.75,0.07
7,53.33,0.0,100.0,0.0,100.0,0.0,430.26,8.0,34.01,0.75,0.07
8,53.33,0.0,100.0,0.0,100.0,0.0,225.4,8.0,36.46,0.75,0.07
9,16.0,0.4,60.0,40.0,60.0,0.0,285.2,2.0,44.29,0.75,0.06
10,0.0,0.0,100.0,0.0,100.0,0.0,698.79,16.0,15.53,0.75,0.07
11,-42.0,0.71,29.0,71.0,29.0,0.0,221.38,1.0,56.79,0.75,0.05
12,-5.27,0.51,49.0,51.0,49.0,0.0,534.05,2.0,60.16,0.75,0.07
13,0.0,0.0,100.0,0.0,100.0,0.0,359.09,16.0,17.29,0.75,0.1
14,0.0,0.0,100.0,0.0,100.0,0.0,522.96,16.0,16.45,0.75,0.07
15,53.33,0.0,100.0,0.0,100.0,0.0,232.87,8.0,34.33,0.75,0.06
16,0.0,0.0,100.0,0.0,100.0,0.0,482.3,16.0,17.89,0.75,0.07
17,80.0,0.0,100.0,0.0,100.0,0.0,514.79,4.0,61.03,0.75,0.07
18,53.33,0.0,100.0,0.0,100.0,0.0,597.3,8.0,33.58,0.75,0.07
19,21.8,0.37,63.0,37.0,63.0,0.0,647.16,2.0,41.24,0.75,0.06
20,0.0,0.0,100.0,0.0,100.0,0.0,338.39,16.0,17.22,0.75,0.08
21,0.0,0.0,100.0,0.0,100.0,0.0,506.16,16.0,17.34,0.75,0.07
22,0.0,0.0,100.0,0.0,100.0,0.0,549.57,16.0,17.16,0.75,0.08
23,0.0,0.0,100.0,0.0,100.0,0.0,666.01,16.0,15.72,0.75,0.07
24,6.33,0.45,55.0,45.0,55.0,0.0,750.0,2.0,59.29,0.75,0.08
25,53.33,0.0,100.0,0.0,100.0,0.0,436.3,8.0,36.17,0.75,0.11
26,0.0,0.0,100.0,0.0,100.0,0.0,442.91,16.0,17.27,0.75,0.1
27,53.33,0.0,100.0,0.0,100.0,0.0,597.59,8.0,36.23,0.75,0.1
28,16.0,0.4,60.0,40.0,60.0,0.0,203.84,2.0,48.59,0.75,0.07
29,80.0,0.0,100.0,0.0,100.0,0.0,340.11,4.0,69.85,0.75,0.07
30,-50.0,0.75,25.0,75.0,25.0,0.0,494.5,1.0,65.33,0.75,0.05
31,0.0,0.0,100.0,0.0,100.0,0.0,537.62,16.0,16.95,0.75,0.07
32,80.0,0.0,100.0,0.0,100.0,0.0,270.54,4.0,65.78,0.75,0.07
33,53.33,0.0,100.0,0.0,100.0,0.0,401.64,8.0,33.28,0.75,0.07
34,-14.93,0.56,44.0,56.0,44.0,0.0,605.76,2.0,59.19,0.75,0.06
35,-44.0,0.72,28.0,72.0,28.0,0.0,247.54,1.0,52.75,0.75,0.05
36,53.33,0.0,100.0,0.0,100.0,0.0,257.89,8.0,29.66,0.75,0.07
37,8.27,0.44,56.0,44.0,56.0,0.0,507.02,2.0,55.5,0.75,0.07
38,0.0,0.0,100.0,0.0,100.0,0.0,540.25,16.0,16.61,0.75,0.09
39,53.33,0.0,100.0,0.0,100.0,0.0,409.85,8.0,33.01,0.75,0.11
40,4.4,0.46,54.0,46.0,54.0,0.0,496.8,2.0,45.69,0.75,0.08
41,0.0,0.0,100.0,0.0,100.0,0.0,626.34,16.0,16.91,0.75,0.1
42,-68.0,0.84,16.0,84.0,16.0,0.0,447.92,1.0,61.1,0.75,0.07
43,53.33,0.0,100.0,0.0,100.0,0.0,172.5,8.0,35.9,0.75,0.07
44,80.0,0.0,100.0,0.0,100.0,0.0,364.55,4.0,67.07,0.75,0.07
45,16.0,0.4,60.0,40.0,60.0,0.0,513.23,2.0,57.8,0.75,0.06
46,53.33,0.0,100.0,0.0,100.0,0.0,541.81,8.0,30.29,0.75,0.07
47,0.0,0.0,100.0,0.0,100.0,0.0,461.44,16.0,17.32,0.75,0.07
48,-11.07,0.54,46.0,54.0,46.0,0.0,400.49,2.0,55.36,0.75,0.08
49,16.0,0.4,60.0,40.0,60.0,0.0,396.17,2.0,54.38,0.75,0.07
50,0.0,0.0,100.0,0.0,100.0,0.0,541.94,16.0,17.84,0.75,0.13
51,53.33,0.0,100.0,0.0,100.0,0.0,343.56,8.0,33.34,0.75,0.11
52,6.33,0.45,55.0,45.0,55.0,0.0,488.46,2.0,52.93,0.75,0.06
53,0.0,0.0,100.0,0.0,100.0,0.0,588.67,16.0,18.31,0.75,0.07
54,0.0,0.0,100.0,0.0,100.0,0.0,306.76,16.0,15.96,0.75,0.07
55,80.0,0.0,100.0,0.0,100.0,0.0,612.66,4.0,67.63,0.75,0.07
56,0.0,0.0,100.0,0.0,100.0,0.0,460.29,16.0,17.78,0.75,0.08
57,21.8,0.37,63.0,37.0,63.0,0.0,644.45,2.0,52.22,0.75,0.06
58,53.33,0.0,100.0,0.0,100.0,0.0,567.11,8.0,35.37,0.75,0.07
59,0.0,0.0,100.0,0.0,100.0,0.0,371.16,16.0,18.01,0.75,0.08
60,53.33,0.0,100.0,0.0,100.0,0.0,459.88,8.0,35.23,0.75,0.15
61,0.53,0.48,52.0,48.0,52.0,0.0,490.76,2.0,61.41,0.75,0.12
62,80.0,0.0,100.0,0.0,100.0,0.0,556.89,4.0,70.77,0.75,0.09
63,0.0,0.0,100.0,0.0,100.0,0.0,707.86,16.0,16.46,0.75,0.09
64,53.33,0.0,100.0,0.0,100.0,0.0,496.8,8.0,36.46,0.75,0.09
65,-46.0,0.73,27.0,73.0,27.0,0.0,630.49,1.0,53.72,0.75,0.07
66,-34.0,0.67,33.0,67.0,33.0,0.0,332.06,1.0,63.88,0.75,0.08
67,0.0,0.0,100.0,0.0,100.0,0.0,586.09,16.0,15.78,0.75,0.09
68,80.0,0.0,100.0,0.0,100.0,0.0,336.09,4.0,69.69,0.75,0.09
69,53.33,0.0,100.0,0.0,100.0,0.0,479.84,8.0,33.71,0.75,0.08
70,6.33,0.45,55.0,45.0,55.0,0.0,325.16,2.0,59.9,0.75,0.07
71,-40.0,0.7,30.0,70.0,30.0,0.0,353.62,1.0,51.38,0.75,0.07
72,-50.0,0.75,25.0,75.0,25.0,0.0,288.36,1.0,60.15,0.75,0.08
73,80.0,0.0,100.0,0.0,100.0,0.0,475.97,4.0,63.96,0.75,0.11
74,80.0,0.0,100.0,0.0,100.0,0.0,542.8,4.0,67.4,0.75,0.1
75,-60.0,0.8,20.0,80.0,20.0,0.0,349.6,1.0,61.69,0.75,0.06
76,-1.4,0.49,51.0,49.0,51.0,0.0,579.76,2.0,50.77,0.75,0.07
77,0.0,0.0,100.0,0.0,100.0,0.0,117.3,16.0,16.63,0.75,0.09
78,80.0,0.0,100.0,0.0,100.0,0.0,519.22,4.0,70.5,0.75,0.1
79,53.33,0.0,100.0,0.0,100.0,0.0,595.12,8.0,31.04,0.75,0.07
80,80.0,0.0,100.0,0.0,100.0,0.0,374.04,4.0,67.09,0.75,0.08
81,-58.0,0.79,21.0,79.0,21.0,0.0,688.89,1.0,54.48,0.75,0.04
82,80.0,0.0,100.0,0.0,100.0,0.0,185.15,4.0,60.5,0.75,0.07
83,53.33,0.0,100.0,0.0,100.0,0.0,250.41,8.0,32.65,0.75,0.07
84,53.33,0.0,100.0,0.0,100.0,0.0,536.76,8.0,34.49,0.75,0.06
85,0.0,0.0,100.0,0.0,100.0,0.0,466.32,16.0,18.29,0.75,0.07
86,0.0,0.0,100.0,0.0,100.0,0.0,245.81,16.0,18.74,0.75,0.07
87,80.0,0.0,100.0,0.0,100.0,0.0,563.09,4.0,67.68,0.75,0.07
88,10.2,0.43,57.0,43.0,57.0,0.0,546.41,2.0,60.27,0.75,0.07
89,95.93,0.39,61.0,39.0,61.0,0.0,322.57,2.0,44.46,0.75,0.07
90,0.0,0.0,100.0,0.0,100.0,0.0,259.32,16.0,18.09,0.75,0.07
91,80.0,0.0,100.0,0.0,100.0,0.0,354.2,4.0,67.96,0.75,0.09
92,53.33,0.0,100.0,0.0,100.0,0.0,572.41,8.0,32.59,0.75,0.12
93,80.0,0.0,100.0,0.0,100.0,0.0,750.0,4.0,65.97,0.75,0.09
94,4.4,0.46,54.0,46.0,54.0,0.0,296.12,2.0,62.68,0.75,0.07
95,0.0,0.0,100.0,0.0,100.0,0.0,422.05,16.0,15.43,0.75,0.12
96,53.33,0.0,100.0,0.0,100.0,0.0,414.29,8.0,33.48,0.75,0.1
97,0.0,0.0,100.0,0.0,100.0,0.0,509.9,16.0,17.13,0.75,0.08
98,53.33,0.0,100.0,0.0,100.0,0.0,259.32,8.0,35.45,0.75,0.08
99,97.07,0.56,44.0,56.0,44.0,0.0,575.0,2.0,55.22,0.75,0.08
100,16.0,0.4,60.0,40.0,60.0,0.0,506.74,2.0,60.75,0.75,0.08
