episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,69.16,0.0,100.0,309.06,8.0,15.19,0.75,0.07
2,45.16,0.0,100.0,548.88,16.0,9.28,0.75,0.07
3,72.7,0.0,100.0,273.7,16.0,8.15,0.75,0.06
4,40.41,0.0,100.0,596.27,16.0,8.15,0.75,0.06
5,47.06,0.0,100.0,529.9,16.0,9.53,0.75,0.06
6,62.0,0.0,100.0,380.65,16.0,9.7,0.75,0.07
7,60.05,0.0,100.0,400.07,16.0,10.25,0.75,0.07
8,59.28,0.0,100.0,407.76,4.0,37.88,0.71,0.07
9,45.46,0.0,100.0,545.84,16.0,8.8,0.75,0.08
10,76.5,0.0,100.0,235.75,8.0,16.94,0.75,0.06
11,65.59,0.0,100.0,344.71,16.0,10.35,0.75,0.06
12,64.31,0.0,100.0,357.52,4.0,42.52,0.75,0.06
13,25.9,0.0,100.0,741.21,16.0,9.7,0.75,0.08
14,64.39,0.0,100.0,356.79,16.0,7.04,0.75,0.06
15,42.95,0.0,100.0,570.97,8.0,15.19,0.75,0.06
16,74.6,0.0,100.0,254.72,8.0,18.76,0.75,0.06
17,60.64,0.0,100.0,394.17,8.0,19.14,0.54,0.1
18,62.54,0.0,100.0,375.19,16.0,8.72,0.75,0.06
19,42.79,0.0,100.0,572.57,16.0,7.71,0.75,0.07
20,83.55,0.0,100.0,165.31,16.0,10.01,0.75,0.07
21,45.68,0.0,100.0,543.62,16.0,9.75,0.7,0.07
22,58.28,0.0,100.0,417.74,16.0,8.61,0.75,0.07
23,51.82,0.0,100.0,482.28,16.0,8.36,0.69,0.07
24,71.66,0.0,100.0,284.08,4.0,34.02,0.71,0.07
25,88.79,0.0,100.0,112.99,16.0,10.53,0.75,0.08
26,77.08,0.0,100.0,230.0,16.0,8.58,0.75,0.08
27,58.48,0.03,97.0,428.63,2.0,34.13,0.62,0.08
28,53.8,0.0,100.0,462.59,8.0,16.81,0.75,0.06
29,50.9,0.0,100.0,491.5,16.0,9.07,0.75,0.07
30,60.48,0.0,100.0,395.76,16.0,9.23,0.75,0.07
31,62.54,0.0,100.0,375.19,16.0,9.04,0.75,0.06
