episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,0.53,0.48,52.0,48.0,52.0,0.0,178.25,2.0,60.63,0.75,0.1
2,53.33,0.0,100.0,0.0,100.0,0.0,525.55,8.0,34.11,0.75,0.11
3,-46.0,0.73,27.0,73.0,27.0,0.0,405.95,1.0,45.11,0.75,0.07
4,0.0,0.0,100.0,0.0,100.0,0.0,401.51,16.0,16.45,0.75,0.11
5,53.33,0.0,100.0,0.0,100.0,0.0,487.6,8.0,37.41,0.75,0.13
6,-36.0,0.68,32.0,68.0,32.0,0.0,568.42,1.0,55.26,0.75,0.08
7,-46.0,0.73,27.0,73.0,27.0,0.0,203.55,1.0,51.59,0.75,0.07
8,-54.0,0.77,23.0,77.0,23.0,0.0,311.07,1.0,47.38,0.75,0.19
9,53.33,0.0,100.0,0.0,100.0,0.0,290.38,8.0,34.09,0.75,0.26
10,80.0,0.0,100.0,0.0,100.0,0.0,718.21,4.0,66.52,0.75,0.2
11,0.0,0.0,100.0,0.0,100.0,0.0,503.29,16.0,17.44,0.75,0.15
12,16.0,0.4,60.0,40.0,60.0,0.0,597.88,2.0,55.92,0.75,0.12
13,-50.0,0.75,25.0,75.0,25.0,0.0,379.79,1.0,53.31,0.75,0.1
14,0.0,0.0,100.0,0.0,100.0,0.0,347.18,16.0,16.03,0.75,0.14
15,53.33,0.0,100.0,0.0,100.0,0.0,138.29,8.0,33.04,0.75,0.15
16,4.4,0.46,54.0,46.0,54.0,0.0,354.49,2.0,52.51,0.75,0.14
17,53.33,0.0,100.0,0.0,100.0,0.0,662.85,8.0,28.8,0.75,0.17
18,0.0,0.0,100.0,0.0,100.0,0.0,346.89,16.0,16.54,0.75,0.17
19,53.33,0.0,100.0,0.0,100.0,0.0,229.42,8.0,34.2,0.75,0.16
20,80.0,0.0,100.0,0.0,100.0,0.0,368.74,4.0,62.9,0.75,0.17
21,80.0,0.0,100.0,0.0,100.0,0.0,257.19,4.0,75.03,0.75,0.15
22,14.07,0.41,59.0,41.0,59.0,0.0,503.41,2.0,57.63,0.75,0.14
23,53.33,0.0,100.0,0.0,100.0,0.0,274.27,8.0,30.1,0.75,0.15
24,53.33,0.0,100.0,0.0,100.0,0.0,463.74,8.0,31.88,0.75,0.16
25,80.0,0.0,100.0,0.0,100.0,0.0,685.97,4.0,63.84,0.75,0.19
26,0.0,0.0,100.0,0.0,100.0,0.0,425.66,16.0,15.79,0.75,0.16
27,-54.0,0.77,23.0,77.0,23.0,0.0,334.52,1.0,51.51,0.75,0.1
28,53.33,0.0,100.0,0.0,100.0,0.0,332.06,8.0,38.03,0.75,0.16
29,80.0,0.0,100.0,0.0,100.0,0.0,467.92,4.0,60.55,0.75,0.16
30,-60.0,0.8,20.0,80.0,20.0,0.0,454.54,1.0,56.02,0.75,0.1
31,0.0,0.0,100.0,0.0,100.0,0.0,283.19,16.0,15.22,0.75,0.17
32,21.8,0.37,63.0,37.0,63.0,0.0,332.92,2.0,52.47,0.75,0.15
33,23.73,0.36,64.0,36.0,64.0,0.0,476.1,2.0,55.33,0.75,0.13
34,53.33,0.0,100.0,0.0,100.0,0.0,466.61,8.0,36.32,0.75,0.14
35,80.0,0.0,100.0,0.0,100.0,0.0,620.88,4.0,67.68,0.75,0.17
36,-1.4,0.49,51.0,49.0,51.0,0.0,453.26,2.0,65.6,0.75,0.13
37,80.0,0.0,100.0,0.0,100.0,0.0,522.84,4.0,63.69,0.75,0.15
38,53.33,0.0,100.0,0.0,100.0,0.0,572.74,8.0,33.96,0.75,0.14
39,17.93,0.39,61.0,39.0,61.0,0.0,493.64,2.0,51.26,0.75,0.12
40,8.27,0.44,56.0,44.0,56.0,0.0,652.62,2.0,57.44,0.75,0.13
41,6.33,0.45,55.0,45.0,55.0,0.0,590.4,2.0,54.57,0.75,0.14
