episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,66.36,0.0,100.0,337.11,4.33,30.68,0.3,0.14
2,66.82,0.0,100.0,332.49,8.6,23.44,0.29,0.11
3,65.49,0.0,100.0,345.72,12.14,15.94,0.45,0.13
4,62.93,0.03,97.0,321.01,2.54,37.92,0.56,0.14
5,66.23,0.01,99.0,321.58,10.81,15.39,0.32,0.15
6,21.76,0.26,74.0,355.23,3.92,20.99,0.19,0.1
7,17.04,0.25,75.0,439.99,12.28,18.31,0.54,0.13
8,72.85,0.0,100.0,272.2,3.28,38.63,0.36,0.12
1,61.22,0.0,100.0,388.38,5.58,21.5,0.4,0.07
2,63.22,0.0,100.0,368.44,7.44,26.57,0.24,0.06
3,62.57,0.0,100.0,374.91,10.66,18.56,0.33,0.07
4,62.74,0.01,99.0,356.84,3.05,38.95,0.39,0.07
5,64.3,0.01,99.0,341.1,10.73,15.62,0.29,0.07
6,66.7,0.0,100.0,333.67,7.54,22.1,0.2,0.08
7,57.36,0.0,100.0,426.97,10.81,20.43,0.56,0.08
8,64.14,0.0,100.0,359.21,2.92,38.26,0.24,0.07
9,74.87,0.0,100.0,252.0,5.08,35.8,0.58,0.09
10,64.63,0.0,100.0,354.36,4.64,28.84,0.15,0.09
11,62.76,0.0,100.0,372.99,9.34,25.18,0.35,0.11
12,14.31,0.27,73.0,434.69,2.82,39.2,0.2,0.06
13,-27.41,0.51,49.0,519.05,4.31,20.24,0.23,0.05
14,69.24,0.0,100.0,308.31,8.44,17.24,0.25,0.07
15,66.57,0.0,100.0,334.98,2.97,31.87,0.21,0.07
16,62.85,0.0,100.0,372.16,4.04,36.04,0.26,0.07
17,62.89,0.0,100.0,371.69,4.78,26.85,0.27,0.08
18,73.74,0.0,100.0,263.32,7.76,22.15,0.18,0.1
19,64.18,0.0,100.0,358.83,10.6,19.71,0.17,0.1
20,81.04,0.0,100.0,190.39,6.24,31.65,0.1,0.11
21,62.77,0.0,100.0,372.91,11.44,14.0,0.21,0.14
22,69.98,0.0,100.0,300.94,10.16,19.65,0.15,0.11
23,61.05,0.0,100.0,390.1,11.66,16.63,0.2,0.09
24,60.38,0.0,100.0,396.8,3.86,35.17,0.27,0.11
25,70.07,0.0,100.0,300.02,9.69,18.76,0.18,0.08
26,70.67,0.0,100.0,293.97,10.3,20.61,0.14,0.09
27,72.55,0.03,97.0,283.7,1.69,36.58,0.33,0.1
28,69.08,0.0,100.0,309.89,7.23,19.15,0.2,0.11
29,67.47,0.0,100.0,325.99,7.6,30.84,0.21,0.15
30,56.48,0.0,100.0,435.79,6.41,20.38,0.52,0.09
31,59.3,0.02,98.0,375.14,5.71,32.79,0.46,0.14
32,64.35,0.0,100.0,357.15,11.12,17.57,0.22,0.1
33,64.01,0.0,100.0,360.52,3.04,36.1,0.29,0.1
34,72.21,0.0,100.0,278.62,6.32,23.11,0.15,0.1
35,33.63,0.15,85.0,428.44,4.56,27.5,0.23,0.09
36,68.6,0.0,100.0,314.7,7.53,22.39,0.18,0.15
37,58.94,0.0,100.0,411.24,3.52,36.72,0.43,0.13
38,74.25,0.0,100.0,258.24,10.76,16.35,0.08,0.14
39,72.06,0.0,100.0,280.14,4.46,30.18,0.12,0.17
40,65.79,0.0,100.0,342.73,9.88,23.41,0.32,0.12
41,70.86,0.0,100.0,292.11,7.84,25.59,0.09,0.09
42,23.79,0.25,75.0,350.07,3.52,25.51,0.16,0.08
43,37.06,0.24,76.0,328.86,1.16,30.53,0.2,0.08
44,63.89,0.0,100.0,361.75,2.78,36.06,0.25,0.09
45,60.95,0.0,100.0,391.15,7.03,24.14,0.32,0.11
46,-29.84,0.52,48.0,538.7,4.79,16.59,0.24,0.07
47,68.12,0.0,100.0,319.51,4.45,38.56,0.21,0.11
48,72.06,0.0,100.0,280.11,7.32,24.4,0.11,0.09
49,43.72,0.1,90.0,403.72,6.53,26.4,0.25,0.12
50,73.4,0.0,100.0,266.75,7.93,20.39,0.31,0.11
51,68.46,0.0,100.0,316.11,7.58,22.5,0.15,0.1
52,-20.7,0.47,53.0,504.23,6.72,22.69,0.05,0.09
53,66.31,0.0,100.0,337.6,11.59,15.56,0.28,0.09
54,68.97,0.0,100.0,310.97,7.63,27.24,0.27,0.11
55,64.88,0.0,100.0,351.84,7.65,19.46,0.4,0.15
56,75.47,0.0,100.0,246.08,8.53,21.19,0.18,0.11
57,72.0,0.0,100.0,280.77,9.0,20.6,0.2,0.13
58,63.47,0.0,100.0,365.98,3.82,40.71,0.37,0.12
59,71.31,0.0,100.0,287.59,3.1,32.15,0.09,0.11
60,25.72,0.21,79.0,409.24,6.15,20.45,0.26,0.09
61,77.12,0.0,100.0,229.55,5.42,28.44,0.13,0.08
62,58.31,0.0,100.0,417.49,5.59,24.79,0.42,0.1
63,61.5,0.0,100.0,385.59,7.68,16.26,0.56,0.1
64,74.55,0.0,100.0,255.23,4.27,26.99,0.2,0.11
65,55.55,0.03,97.0,396.95,4.39,32.55,0.32,0.14
