episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,37.33,0.0,100.0,0.0,100.0,0.0,303.06,10.4,21.15,0.2,0.13
2,53.73,0.12,88.0,12.0,88.0,0.0,240.78,4.8,29.19,0.14,0.1
3,-23.67,0.44,56.0,44.0,56.0,0.0,413.57,10.55,12.84,0.27,0.09
4,39.6,0.13,87.0,13.0,87.0,0.0,395.61,6.93,25.7,0.27,0.12
5,31.73,0.11,89.0,11.0,89.0,0.0,373.65,8.8,19.46,0.13,0.09
6,6.4,0.38,62.0,38.0,62.0,0.0,346.81,5.26,29.39,0.33,0.1
7,6.8,0.46,54.0,46.0,54.0,0.0,395.54,1.33,28.73,0.39,0.09
8,-2.8,0.47,53.0,47.0,53.0,0.0,329.39,3.49,27.18,0.08,0.08
9,47.73,0.15,85.0,15.0,85.0,0.0,287.39,4.93,26.04,0.17,0.09
10,36.4,0.03,97.0,3.0,97.0,0.0,322.01,9.91,17.94,0.3,0.14
11,41.93,0.15,85.0,15.0,85.0,0.0,328.8,5.95,25.64,0.14,0.15
12,18.93,0.24,76.0,24.0,76.0,0.0,442.62,7.53,23.37,0.27,0.15
13,10.2,0.41,59.0,41.0,59.0,0.0,323.5,2.98,31.86,0.15,0.09
14,11.2,0.0,100.0,0.0,100.0,0.0,336.36,14.32,10.21,0.15,0.11
15,51.07,0.0,100.0,0.0,100.0,0.0,363.02,8.34,24.25,0.19,0.11
16,51.2,0.0,100.0,0.0,100.0,0.0,208.23,8.32,23.6,0.12,0.13
17,49.13,0.0,100.0,0.0,100.0,0.0,357.36,8.63,18.34,0.3,0.16
18,22.27,0.11,89.0,11.0,89.0,0.0,314.88,10.39,20.11,0.16,0.18
19,51.2,0.0,100.0,0.0,100.0,0.0,316.7,8.32,24.0,0.14,0.1
20,56.53,0.0,100.0,0.0,100.0,0.0,393.42,7.52,24.88,0.36,0.1
21,37.4,0.27,73.0,27.0,73.0,0.0,234.2,2.77,37.74,0.2,0.14
22,78.27,0.0,100.0,0.0,100.0,0.0,300.94,4.26,31.05,0.12,0.1
23,54.13,0.0,100.0,0.0,100.0,0.0,367.04,7.88,23.04,0.33,0.12
24,52.0,0.11,89.0,11.0,89.0,0.0,318.43,5.38,24.17,0.23,0.1
25,23.2,0.03,97.0,3.0,97.0,0.0,323.01,11.95,15.81,0.46,0.1
26,6.27,0.14,86.0,14.0,86.0,0.0,362.26,12.47,13.33,0.28,0.1
27,-7.27,0.49,51.0,49.0,51.0,0.0,430.31,3.73,21.5,0.44,0.07
28,70.53,0.0,100.0,0.0,100.0,0.0,340.27,5.42,30.53,0.03,0.11
29,44.93,0.25,75.0,25.0,75.0,0.0,359.86,2.01,31.12,0.3,0.09
30,-5.93,0.51,49.0,51.0,49.0,0.0,372.38,2.2,28.66,0.31,0.08
31,24.33,0.13,87.0,13.0,87.0,0.0,324.55,9.56,19.42,0.11,0.11
32,51.4,0.18,82.0,18.0,82.0,0.0,398.67,3.3,30.94,0.46,0.11
33,59.73,0.0,100.0,0.0,100.0,0.0,289.67,7.04,26.64,0.16,0.1
34,54.6,0.01,99.0,1.0,99.0,0.0,417.97,7.58,19.44,0.36,0.1
35,61.6,0.0,100.0,0.0,100.0,0.0,341.95,6.76,25.55,0.28,0.11
36,52.27,0.12,88.0,12.0,88.0,0.0,266.39,5.05,33.46,0.18,0.1
37,56.73,0.02,98.0,2.0,98.0,0.0,334.95,7.01,19.38,0.32,0.12
38,31.33,0.13,87.0,13.0,87.0,0.0,290.27,8.36,19.43,0.16,0.14
39,85.33,0.0,100.0,0.0,100.0,0.0,276.88,3.2,35.59,0.14,0.16
40,67.73,0.0,100.0,0.0,100.0,0.0,283.22,5.84,31.22,0.02,0.1
41,48.6,0.12,88.0,12.0,88.0,0.0,409.37,5.67,29.88,0.18,0.11
42,24.8,0.0,100.0,0.0,100.0,0.0,291.29,12.28,13.1,0.18,0.14
43,39.6,0.1,90.0,10.0,90.0,0.0,326.52,7.73,24.03,0.14,0.17
44,57.47,0.16,84.0,16.0,84.0,0.0,249.85,2.88,31.48,0.17,0.12
45,-18.53,0.49,51.0,49.0,51.0,0.0,335.48,7.04,18.84,0.19,0.11
46,60.0,0.08,92.0,8.0,92.0,0.0,340.69,4.91,30.36,0.15,0.12
47,33.07,0.19,81.0,19.0,81.0,0.0,384.94,6.36,22.34,0.4,0.1
48,33.47,0.26,74.0,26.0,74.0,0.0,432.58,3.95,30.82,0.24,0.09
49,33.87,0.27,73.0,27.0,73.0,0.0,346.21,3.49,28.06,0.21,0.09
