r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-31.043222,100,1.483147,-1.0,5.0,-31.04,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-35.45346,100,1.483147,-1.0,5.0,-35.45,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-33.294353,100,1.483662,-1.0,4.0,-33.29,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-45.74508,100,1.483662,-1.0,4.0,-45.75,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-33.843163,100,1.483662,0.64,0.0,-33.84,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-44.184658,100,1.483662,-1.0,5.0,-44.18,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-40.315907,100,1.483662,-1.0,4.0,-40.32,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-16.5667,100,1.483662,-1.0,5.0,-16.57,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-25.09773,100,3.468386,-1.0,5.0,-25.1,0.49,51.0,232.08,13.61,7.11,0.62,0.92
-23.81166,100,3.468386,0.47,4.0,-23.81,0.48,52.0,228.31,13.89,5.65,0.64,0.92
-23.685232,100,3.468386,0.48,4.0,-23.69,0.48,52.0,233.22,13.76,6.07,0.61,0.92
-35.056602,100,3.468386,-1.0,5.0,-35.06,0.56,44.0,229.54,13.75,6.73,0.61,0.92
-24.212349,100,3.468386,-1.0,5.0,-24.21,0.48,52.0,224.0,14.02,5.81,0.64,0.92
-31.783937,100,3.468386,-1.0,5.0,-31.78,0.53,47.0,224.6,14.2,5.43,0.65,0.92
-34.183125,100,3.468386,-1.0,5.0,-34.18,0.55,45.0,233.54,13.67,6.63,0.61,0.92
-31.56763,100,3.468386,-1.0,5.0,-31.57,0.53,47.0,224.22,14.12,5.56,0.65,0.92
-25.644756,100,4.71067,0.49,4.0,-25.64,0.49,51.0,286.0,13.13,8.58,0.6,0.68
-29.88061,100,4.71067,0.5,4.0,-29.88,0.52,48.0,297.37,12.9,8.89,0.57,0.69
-27.082827,100,4.71067,0.49,4.0,-27.08,0.5,50.0,285.73,13.2,8.72,0.6,0.69
-36.808777,100,4.71067,-1.0,5.0,-36.81,0.57,43.0,302.09,12.92,8.4,0.57,0.68
-37.107433,100,4.71067,0.51,4.0,-37.11,0.57,43.0,321.95,12.46,8.94,0.54,0.68
-29.475262,100,4.71067,0.51,4.0,-29.48,0.52,48.0,300.12,12.7,9.71,0.53,0.68
-37.30494,100,4.71067,-1.0,5.0,-37.3,0.57,43.0,299.06,13.05,8.28,0.58,0.68
-31.707047,100,4.71067,0.49,4.0,-31.71,0.53,47.0,291.28,13.23,7.89,0.6,0.68
