r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-29.543175,100,1.779692,-1.0,5.0,-29.54,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-34.828575,100,1.779692,-1.0,5.0,-34.83,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-32.364285,100,1.779692,-1.0,4.0,-32.36,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-44.98842,100,1.779692,-1.0,4.0,-44.99,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-33.349686,100,1.780691,0.53,0.0,-33.35,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-43.28318,100,1.780691,-1.0,5.0,-43.28,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-39.847942,100,1.780691,-1.0,4.0,-39.85,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-15.92635,100,1.780691,-1.0,5.0,-15.93,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-41.581585,100,3.682172,-1.0,5.0,-41.58,0.49,51.0,227.96,13.82,6.28,0.64,0.82
-42.758728,100,3.682172,0.18,4.0,-42.76,0.49,51.0,224.69,14.16,5.56,0.65,0.82
-40.24889,100,3.682172,0.18,4.0,-40.25,0.48,52.0,233.22,13.76,6.07,0.61,0.82
-49.405716,100,3.682172,-1.0,5.0,-49.41,0.56,44.0,229.54,13.75,6.73,0.61,0.82
-41.137775,100,3.682172,-1.0,5.0,-41.14,0.48,52.0,224.0,14.02,5.81,0.64,0.83
-47.364437,100,3.682172,-1.0,5.0,-47.36,0.53,47.0,224.6,14.2,5.43,0.65,0.82
-49.804443,100,3.682172,-1.0,5.0,-49.8,0.56,44.0,228.8,13.89,6.23,0.64,0.82
-47.111736,100,3.682172,-1.0,5.0,-47.11,0.53,47.0,224.22,14.12,5.56,0.65,0.82
-40.44381,100,5.136321,0.27,4.0,-40.44,0.49,51.0,270.25,13.48,8.42,0.62,0.81
