r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-35.127712,100,1.583325,-1.0,5.0,-35.13,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-39.37465,100,1.583325,-1.0,5.0,-39.37,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-36.942677,100,1.583325,-1.0,4.0,-36.94,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-48.932697,100,1.583325,-1.0,4.0,-48.93,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-37.885918,100,1.583325,0.49,0.0,-37.89,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-47.536114,100,1.584343,-1.0,5.0,-47.54,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-43.792305,100,1.584343,-1.0,4.0,-43.79,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-21.54865,100,1.584343,-1.0,5.0,-21.55,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-31.105309,100,3.34703,0.49,1.0,-31.11,0.47,53.0,253.63,13.15,8.15,0.54,0.63
-32.161472,100,3.348036,0.3,4.0,-32.16,0.48,52.0,241.58,13.46,8.94,0.57,0.63
-25.281492,100,3.348036,0.34,4.0,-25.28,0.45,55.0,255.17,12.84,11.14,0.5,0.63
-41.892834,100,3.348036,-1.0,5.0,-41.89,0.55,45.0,242.48,13.51,7.22,0.58,0.63
-30.835442,100,3.348036,0.6,0.0,-30.84,0.46,54.0,236.89,13.44,7.61,0.59,0.63
-37.297558,100,3.348036,-1.0,5.0,-37.3,0.51,49.0,235.06,13.91,6.78,0.6,0.63
-39.86027,100,3.348036,-1.0,5.0,-39.86,0.54,46.0,260.06,13.29,7.66,0.55,0.63
-38.18594,100,3.348036,-1.0,5.0,-38.19,0.51,49.0,229.82,13.87,6.0,0.63,0.63
-29.971155,100,5.355233,0.35,4.0,-29.97,0.47,53.0,297.28,12.86,9.57,0.57,0.89
-33.495262,100,5.355233,0.38,4.0,-33.5,0.51,49.0,316.54,12.27,11.33,0.5,0.89
-21.304127,100,5.355233,0.4,4.0,-21.3,0.45,55.0,330.37,11.94,13.41,0.46,0.89
-36.421093,100,5.356296,-1.0,5.0,-36.42,0.54,46.0,315.73,12.56,10.97,0.52,0.89
-33.423664,100,5.356296,0.46,4.0,-33.42,0.54,46.0,434.61,10.96,14.56,0.35,0.89
-30.310574,100,5.356296,0.4,4.0,-30.31,0.5,50.0,322.11,12.15,12.61,0.46,0.89
-36.650955,100,5.356296,-1.0,5.0,-36.65,0.54,46.0,331.41,12.25,11.31,0.5,0.89
-29.173275,100,5.356296,0.4,4.0,-29.17,0.5,50.0,334.35,12.0,13.1,0.46,0.89
-34.27252,100,6.983784,0.35,4.0,-34.27,0.54,46.0,417.0,11.17,16.92,0.44,0.86
-29.362265,100,6.983784,0.31,4.0,-29.36,0.49,51.0,427.23,11.67,14.37,0.51,0.86
-25.854662,100,6.983784,-1.0,5.0,-25.85,0.46,54.0,413.83,11.72,14.28,0.51,0.86
-17.501417,100,6.983784,0.34,4.0,-17.5,0.44,56.0,423.04,10.67,16.52,0.45,0.86
-33.52288,100,6.983784,-1.0,5.0,-33.52,0.51,49.0,410.48,11.7,12.44,0.54,0.86
-29.881342,100,6.983784,0.31,4.0,-29.88,0.5,50.0,402.73,11.61,13.22,0.51,0.86
-47.647457,100,6.983784,0.33,4.0,-47.65,0.63,37.0,427.34,11.19,15.06,0.47,0.86
-33.450363,100,6.983784,0.33,4.0,-33.45,0.53,47.0,413.89,11.02,15.12,0.48,0.86
-20.00464,100,8.966527,-1.0,5.0,-20.0,0.47,53.0,432.23,9.77,12.69,0.38,0.54
-14.048802,100,8.966527,0.4,4.0,-14.05,0.42,58.0,456.23,11.05,9.86,0.38,0.54
-25.4575,100,8.966527,0.39,4.0,-25.46,0.49,51.0,457.96,10.76,11.06,0.41,0.53
-5.205744,100,8.966527,0.4,4.0,-5.21,0.38,62.0,440.82,10.24,11.62,0.37,0.54
-13.001936,100,8.966527,0.41,4.0,-13.0,0.42,58.0,452.89,10.3,11.29,0.35,0.53
-28.832426,100,8.966527,-1.0,5.0,-28.83,0.54,46.0,504.7,9.69,12.19,0.33,0.54
-13.318088,100,8.966527,0.41,4.0,-13.32,0.42,58.0,453.81,10.35,11.15,0.35,0.54
-33.820934,100,8.966527,-1.0,5.0,-33.82,0.56,44.0,477.35,9.47,14.78,0.32,0.54
6.1590056,100,11.012046,0.45,4.0,6.16,0.32,68.0,417.56,6.31,30.17,0.5,1.09
18.853416,100,11.012046,-1.0,5.0,18.85,0.29,71.0,383.81,5.78,29.32,0.34,1.09
29.334972,100,11.012046,0.61,4.0,29.33,0.26,74.0,447.02,4.68,29.5,0.19,1.09
6.205523,100,11.012046,-1.0,5.0,6.21,0.33,67.0,382.56,7.86,20.29,0.34,1.09
25.402748,100,11.012046,-1.0,5.0,25.4,0.29,71.0,422.15,4.5,28.59,0.1,1.09
28.320583,100,11.012046,-1.0,5.0,28.32,0.27,73.0,439.74,5.31,27.21,0.1,1.09
4.0282893,100,11.012046,-1.0,5.0,4.03,0.35,65.0,405.59,7.74,21.94,0.34,1.09
35.657715,100,11.012046,-1.0,5.0,35.66,0.23,77.0,427.64,4.5,30.35,0.23,1.09
14.626025,100,12.815114,0.45,4.0,14.63,0.33,67.0,401.98,5.05,26.64,0.29,0.88
4.340974,100,12.815114,0.38,4.0,4.34,0.38,62.0,450.53,4.08,29.32,0.42,0.88
13.037947,100,12.815114,-1.0,5.0,13.04,0.34,66.0,423.9,4.28,30.34,0.33,0.88
4.0318027,100,12.815114,-1.0,5.0,4.03,0.38,62.0,387.01,6.04,25.37,0.21,0.88
1.186147,100,12.815114,-1.0,5.0,1.19,0.4,60.0,390.69,5.77,25.83,0.22,0.88
4.5070624,100,12.815114,-1.0,5.0,4.51,0.36,64.0,384.82,6.27,25.06,0.29,0.88
-0.14651033,100,12.815114,0.44,4.0,-0.15,0.4,60.0,405.28,5.5,25.77,0.31,0.88
4.375713,100,12.815114,0.46,4.0,4.38,0.38,62.0,382.18,5.92,23.44,0.27,0.88
42.800385,100,14.652474,0.64,0.0,42.8,0.16,84.0,502.29,3.12,37.12,0.53,0.81
38.41891,100,14.652474,0.77,3.0,38.42,0.2,80.0,441.81,2.4,35.27,0.45,0.81
52.171257,100,14.652474,0.63,0.0,52.17,0.08,92.0,352.55,3.66,40.13,0.54,0.81
51.540638,100,14.652474,0.72,2.0,51.54,0.07,93.0,335.18,3.63,39.42,0.57,0.81
58.491867,100,14.652474,0.64,0.0,58.49,0.06,94.0,326.66,3.61,39.25,0.52,0.81
27.4115,100,14.652474,0.66,0.0,27.41,0.26,74.0,471.57,2.47,34.37,0.47,0.81
27.968424,100,14.652474,0.78,3.0,27.97,0.26,74.0,506.76,2.26,35.48,0.44,0.81
48.302948,100,14.652474,0.61,1.0,48.3,0.08,92.0,353.36,3.72,40.97,0.59,0.81
31.157587,100,16.856612,0.73,2.0,31.16,0.19,81.0,523.4,5.96,34.83,0.34,0.78
35.5271,100,16.857605,0.79,0.0,35.53,0.18,82.0,593.23,6.55,31.97,0.22,0.78
31.225565,100,16.857605,0.42,1.0,31.23,0.21,79.0,534.79,6.46,35.3,0.17,0.79
31.492535,100,16.857605,0.81,2.0,31.49,0.19,81.0,538.2,6.81,32.54,0.17,0.79
28.440954,100,16.857605,0.72,2.0,28.44,0.22,78.0,605.91,5.43,35.15,0.36,0.78
32.43216,100,16.857605,0.67,2.0,32.43,0.18,82.0,608.94,6.05,36.05,0.45,0.79
29.859434,100,16.857605,0.76,2.0,29.86,0.19,81.0,549.5,7.08,31.84,0.28,0.79
31.405586,100,16.857605,0.8,0.0,31.41,0.18,82.0,550.73,7.13,31.36,0.2,0.79
39.381763,100,19.12935,0.68,2.0,39.38,0.16,84.0,486.08,4.05,37.17,0.44,1.09
39.10856,100,19.12935,0.64,2.0,39.11,0.16,84.0,506.61,4.11,37.42,0.51,1.09
49.11862,100,19.12935,0.7,3.0,49.12,0.1,90.0,464.66,4.54,34.54,0.4,1.09
43.56469,100,19.12935,0.68,2.0,43.56,0.15,85.0,527.16,4.18,36.91,0.43,1.09
35.440067,100,19.12935,0.67,2.0,35.44,0.17,83.0,480.71,4.18,37.95,0.47,1.09
51.39495,100,19.130352,0.74,2.0,51.39,0.13,87.0,528.72,4.22,35.89,0.31,1.09
37.9453,100,19.130352,0.68,2.0,37.95,0.18,82.0,515.77,4.16,37.7,0.44,1.09
65.11667,100,19.130352,0.56,1.0,65.12,0.03,97.0,390.02,4.54,36.38,0.41,1.09
41.42796,100,21.176191,0.64,3.0,41.43,0.14,86.0,407.26,4.62,41.38,0.51,1.06
32.723682,100,21.176191,0.7,3.0,32.72,0.2,80.0,419.09,4.86,38.9,0.4,1.06
35.96701,100,21.176191,0.67,3.0,35.97,0.18,82.0,449.32,4.55,41.55,0.46,1.06
28.497898,100,21.176191,0.63,3.0,28.5,0.22,78.0,462.81,4.77,43.19,0.54,1.06
37.63815,100,21.176191,0.64,3.0,37.64,0.14,86.0,433.32,4.52,42.9,0.52,1.06
27.044554,100,21.176191,0.81,3.0,27.04,0.27,73.0,441.47,4.84,34.72,0.17,1.06
26.609182,100,21.176191,-1.0,0.0,26.61,0.28,72.0,472.69,4.34,36.13,0.21,1.06
36.49331,100,21.176191,0.7,3.0,36.49,0.18,82.0,421.76,4.75,40.12,0.39,1.06
64.97519,100,22.992377,0.87,0.0,64.98,0.1,90.0,440.64,2.42,40.58,0.19,0.89
62.217796,100,22.992377,0.83,0.0,62.22,0.09,91.0,445.43,2.37,40.11,0.28,0.89
56.347527,100,22.992377,0.83,1.0,56.35,0.12,88.0,463.29,2.39,40.46,0.27,0.89
54.443607,100,22.992377,0.73,0.0,54.44,0.12,88.0,436.09,2.16,41.04,0.48,0.89
52.746716,100,22.992377,0.75,0.0,52.75,0.15,85.0,441.46,2.19,41.72,0.43,0.89
58.571114,100,22.992377,0.83,0.0,58.57,0.1,90.0,443.83,2.31,39.91,0.27,0.89
74.53318,100,22.992377,0.88,0.0,74.53,0.07,93.0,418.03,2.29,38.89,0.17,0.89
62.023045,100,22.992377,0.79,0.0,62.02,0.09,91.0,439.38,2.42,39.08,0.36,0.89
28.979996,100,24.743304,0.9,3.0,28.98,0.28,72.0,471.19,4.03,26.68,0.2,0.76
26.4791,100,24.744318,0.51,4.0,26.48,0.28,72.0,492.73,5.06,25.35,0.18,0.76
15.852186,100,24.744318,-1.0,5.0,15.85,0.36,64.0,462.65,3.35,26.22,0.16,0.76
20.979961,100,24.744318,0.57,4.0,20.98,0.3,70.0,525.1,4.69,26.34,0.06,0.76
17.494701,100,24.744318,-1.0,5.0,17.49,0.33,67.0,542.83,3.81,27.37,0.24,0.76
36.7837,100,24.744318,0.54,4.0,36.78,0.24,76.0,579.26,4.4,23.93,0.12,0.76
33.44227,100,24.744318,0.59,4.0,33.44,0.26,74.0,538.53,4.69,25.7,0.03,0.76
9.965172,100,24.744318,-1.0,5.0,9.97,0.35,65.0,572.49,4.32,26.62,0.11,0.76
