r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-29.000975,100,1.679389,-1.0,5.0,-29.0,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-33.492863,100,1.680388,-1.0,5.0,-33.49,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-31.47019,100,1.680388,-1.0,4.0,-31.47,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-44.15128,100,1.680388,-1.0,4.0,-44.15,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-31.821789,100,1.680388,0.72,0.0,-31.82,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-42.50893,100,1.680388,-1.0,5.0,-42.51,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-38.57771,100,1.680388,-1.0,4.0,-38.58,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-14.0757265,100,1.680388,-1.0,5.0,-14.08,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-19.843964,100,4.153975,-1.0,5.0,-19.84,0.49,51.0,235.77,13.46,7.01,0.61,1.05
-16.763136,100,4.153975,0.58,4.0,-16.76,0.47,53.0,231.92,13.58,5.99,0.62,1.05
-18.4458,100,4.153975,0.59,4.0,-18.45,0.48,52.0,237.33,13.56,6.48,0.58,1.05
-30.844982,100,4.153975,-1.0,5.0,-30.84,0.56,44.0,231.94,13.57,6.21,0.63,1.05
-18.774006,100,4.153975,-1.0,5.0,-18.77,0.48,52.0,229.78,13.92,5.81,0.63,1.05
-26.695839,100,4.153975,-1.0,5.0,-26.7,0.53,47.0,224.6,14.2,5.43,0.65,1.05
-27.989061,100,4.153975,-1.0,5.0,-27.99,0.54,46.0,228.29,13.72,6.16,0.62,1.05
-24.755535,100,4.153975,-1.0,5.0,-24.76,0.52,48.0,233.59,13.83,5.93,0.61,1.05
-21.279728,100,5.543065,0.57,4.0,-21.28,0.49,51.0,286.0,13.13,8.58,0.6,1.06
