r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-40.71225,100,1.457573,-1.0,5.0,-40.71,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-43.92074,100,1.457573,-1.0,5.0,-43.92,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-41.521065,100,1.457573,-1.0,4.0,-41.52,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-52.876972,100,1.457573,-1.0,4.0,-52.88,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-42.42213,100,1.457573,0.44,0.0,-42.42,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-51.78905,100,1.457573,-1.0,5.0,-51.79,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-47.736683,100,1.457573,-1.0,4.0,-47.74,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-27.17095,100,1.457573,-1.0,5.0,-27.17,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-22.041567,100,2.991694,0.46,1.0,-22.04,0.45,55.0,257.4,12.96,8.25,0.54,0.68
-20.453054,100,2.991694,0.47,4.0,-20.45,0.46,54.0,253.3,12.92,9.39,0.53,0.68
-17.136322,100,2.991694,0.5,4.0,-17.14,0.45,55.0,255.17,12.84,11.14,0.5,0.68
-34.858017,100,2.991694,-1.0,5.0,-34.86,0.54,46.0,242.41,13.56,7.04,0.59,0.68
-23.142199,100,2.991694,0.42,0.0,-23.14,0.45,55.0,247.22,13.24,7.58,0.58,0.68
-30.430664,100,2.991694,-1.0,5.0,-30.43,0.51,49.0,235.06,13.91,6.78,0.6,0.68
-30.354753,100,2.991694,-1.0,5.0,-30.35,0.52,48.0,273.37,12.76,8.74,0.48,0.68
-30.493265,100,2.991694,-1.0,5.0,-30.49,0.5,50.0,234.0,13.67,6.42,0.61,0.68
-29.49594,100,4.275757,0.41,4.0,-29.5,0.49,51.0,281.08,13.09,8.7,0.59,0.7
-37.000847,100,4.275757,0.38,4.0,-37.0,0.54,46.0,272.93,13.49,8.5,0.62,0.7
-26.965084,100,4.275757,0.41,4.0,-26.97,0.49,51.0,278.89,13.22,9.19,0.59,0.69
-39.741653,100,4.275757,-1.0,5.0,-39.74,0.57,43.0,286.07,13.13,8.11,0.6,0.69
-39.66312,100,4.275757,0.47,4.0,-39.66,0.57,43.0,316.05,12.42,9.08,0.53,0.7
-32.30831,100,4.275757,0.47,4.0,-32.31,0.52,48.0,300.12,12.7,9.71,0.53,0.7
-40.02563,100,4.275757,-1.0,5.0,-40.03,0.57,43.0,299.06,13.05,8.28,0.58,0.7
-34.373028,100,4.275757,0.41,4.0,-34.37,0.53,47.0,285.98,13.19,8.65,0.59,0.7
-36.57168,100,6.712707,0.41,4.0,-36.57,0.55,45.0,396.2,12.26,10.37,0.59,0.52
-32.63308,100,6.712707,0.42,4.0,-32.63,0.53,47.0,393.77,12.26,10.69,0.58,0.52
-25.895266,100,6.712707,-1.0,5.0,-25.9,0.47,53.0,396.09,12.44,10.18,0.6,0.52
-26.395473,100,6.712707,0.44,4.0,-26.4,0.5,50.0,395.67,11.83,12.4,0.56,0.52
-36.969845,100,6.712707,-1.0,5.0,-36.97,0.54,46.0,385.87,12.42,10.11,0.62,0.52
-34.88056,100,6.712707,0.39,4.0,-34.88,0.53,47.0,392.57,12.4,10.01,0.61,0.52
