r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-27.229828,100,1.384713,-1.0,5.0,-27.23,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-32.20012,100,1.384713,-1.0,5.0,-32.2,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-30.09308,100,1.384713,-1.0,4.0,-30.09,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-42.976032,100,1.384713,-1.0,4.0,-42.98,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-30.564363,100,1.384713,0.7,0.0,-30.56,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-41.22033,100,1.385722,-1.0,5.0,-41.22,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-37.474617,100,1.385722,-1.0,4.0,-37.47,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-12.510063,100,1.385722,-1.0,5.0,-12.51,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-23.827139,100,4.217685,-1.0,5.0,-23.83,0.48,52.0,237.29,13.51,7.09,0.61,0.72
-26.089281,100,4.217685,0.48,4.0,-26.09,0.49,51.0,224.69,14.16,5.56,0.65,0.72
-25.85027,100,4.217685,0.48,4.0,-25.85,0.49,51.0,224.01,14.03,5.85,0.65,0.72
-35.84016,100,4.217685,-1.0,5.0,-35.84,0.56,44.0,230.24,13.81,6.76,0.61,0.72
-24.372753,100,4.217685,-1.0,5.0,-24.37,0.48,52.0,224.0,14.02,5.81,0.64,0.72
-31.942043,100,4.217685,-1.0,5.0,-31.94,0.53,47.0,224.6,14.2,5.43,0.65,0.72
-35.918873,100,4.218683,-1.0,5.0,-35.92,0.56,44.0,228.8,13.89,6.23,0.64,0.72
-30.146618,100,4.218683,-1.0,5.0,-30.15,0.52,48.0,224.0,13.99,6.0,0.64,0.72
-25.896742,100,6.708806,0.5,4.0,-25.9,0.49,51.0,286.0,13.13,8.58,0.6,1.08
-31.745398,100,6.708806,0.5,4.0,-31.75,0.53,47.0,290.11,13.09,8.62,0.6,1.08
-27.6254,100,6.708806,0.5,4.0,-27.63,0.5,50.0,276.38,13.44,8.57,0.61,1.08
-37.692802,100,6.708806,-1.0,5.0,-37.69,0.57,43.0,292.26,13.16,8.2,0.59,1.08
-38.665146,100,6.708806,0.45,4.0,-38.67,0.57,43.0,406.41,12.12,10.24,0.48,1.08
-29.909252,100,6.708806,0.5,4.0,-29.91,0.52,48.0,300.12,12.7,9.71,0.53,1.08
-37.690544,100,6.708806,-1.0,5.0,-37.69,0.57,43.0,299.06,13.05,8.28,0.58,1.08
-31.68011,100,6.708806,0.5,4.0,-31.68,0.53,47.0,295.6,12.97,9.67,0.57,1.08
-35.192513,100,8.948006,0.38,4.0,-35.19,0.55,45.0,402.93,11.76,13.2,0.51,1.14
