1,-27.82,0.6,40.0,196.35,5.64,11.51,0.54,1.26

1,-29.57,0.61,39.0,194.95,5.93,10.73,0.56,1.26
1,-35.1,0.64,36.0,198.06,5.94,10.94,0.55,1.26
1,-9.09,0.5,50.0,182.69,5.78,10.65,0.55,1.26
2,-9.42,0.49,51.0,224.69,14.16,5.56,0.65,1.38
2,-16.52,0.53,47.0,224.6,14.2,5.43,0.65,1.38


3,-27.41,0.58,42.0,272.28,13.65,7.98,0.63,1.49
3,-21.91,0.55,45.0,265.49,13.85,7.62,0.64,1.49
4,-16.12,0.48,52.0,387.45,12.76,9.35,0.64,0.63
4,-29.03,0.56,44.0,387.65,12.52,9.83,0.63,0.63
4,-30.79,0.57,43.0,391.15,12.69,9.43,0.64,0.63
4,-25.73,0.54,46.0,386.07,12.52,9.78,0.63,0.63
5,-48.97,0.68,32.0,405.84,13.5,5.64,0.58,0.65
5,-42.06,0.63,37.0,434.53,13.2,5.62,0.58,0.65

6,-22.75,0.57,43.0,204.4,10.61,9.72,0.46,1.14
6,-11.89,0.51,49.0,202.6,10.55,10.67,0.51,1.14
6,-18.78,0.55,45.0,195.97,10.68,8.99,0.53,1.14
6,-16.32,0.54,46.0,181.75,11.22,8.27,0.57,1.14
6,-14.97,0.53,47.0,191.61,10.87,8.6,0.55,1.14

7,-19.17,0.55,45.0,204.54,11.89,8.31,0.61,1.37
7,-20.28,0.56,44.0,188.88,11.6,9.45,0.58,1.37
7,-18.38,0.55,45.0,187.07,11.68,8.62,0.55,1.37
7,-14.8,0.53,47.0,188.13,10.55,10.34,0.52,1.37
8,-19.4,0.56,44.0,168.94,1.4,14.05,0.42,0.95

8,-11.22,0.52,48.0,151.18,1.55,14.42,0.35,0.96
9,-40.14,0.61,39.0,465.78,13.01,7.8,0.65,0.95
9,-33.67,0.57,43.0,458.03,12.59,8.51,0.63,0.95
9,-35.5,0.58,42.0,464.8,13.29,7.2,0.65,0.95
10,-24.71,0.57,43.0,249.71,6.13,12.18,0.62,0.79
10,-31.74,0.61,39.0,250.57,6.13,11.53,0.62,0.79
11,-14.9,0.54,46.0,150.95,12.36,7.6,0.57,0.76


11,-12.95,0.53,47.0,148.73,12.73,7.17,0.58,0.77
11,-10.8,0.52,48.0,142.59,12.12,7.86,0.56,0.76
12,-19.12,0.55,45.0,203.39,2.0,16.01,0.63,0.79
2,-17.49,0.54,46.0,207.2,2.04,16.29,0.61,0.79

12,-24.02,0.58,42.0,191.65,2.01,15.97,0.62,0.79
13,-13.81,0.48,52.0,343.06,12.05,7.76,0.56,0.811313,-31.36,0.59,41.0,326.63,11.7,9.3,0.54,0.81
13,-27.01,0.56,44.0,341.69,12.05,7.6,0.56,0.81

14,32.01,0.3,70.0,115.0,5.72,23.79,0.2,0.86
.86
14,4.58,0.43,57.0,166.08,10.85,9.94,0.36,0.86

14,0.6,0.45,55.0,171.75,11.45,8.71,0.41,0.86
15,-15.95,0.52,48.0,249.61,4.63,14.8,0.54,1.06
1515,-6.67,0.47,53.0,239.79,4.66,17.05,0.53,1.06
16,-1.57,0.44,56.0,243.06,4.41,23.31,0.51,0.76
16,-2.38,0.43,57.0,287.99,4.9,21.29,0.5,0.76
16,9.36,0.39,61.0,207.94,5.67,20.17,0.56,0.76

16,7.48,0.4,60.0,209.49,5.27,20.07,0.53,0.76

16,-11.26,0.48,52.0,294.17,5.16,21.13,0.49,0.76
17,0.36,0.43,57.0,239.98,7.54,15.03,0.56,0.82
17,-14.01,0.51,49.0,245.94,7.47,15.69,0.51,0.82
17,-18.44,0.54,46.0,227.7,7.12,14.51,0.54,0.82

18,-0.91,0.42,58.0,292.25,12.05,10.11,0.52,0.96
18,7.57,0.37,63.0,293.19,11.29,11.7,0.45,0.96

18,16.35,0.33,67.0,264.17,11.43,11.03,0.46,0.96
19,-25.7,0.55,45.0,349.64,15.73,5.27,0.56,0.88
9,-20.67,0.52,48.0,348.03,16.0,5.01,0.56,0.89
20,-0.76,0.44,56.0,228.65,7.2,25.6,0.37,0.84

20,7.31,0.41,59.0,182.04,7.71,26.03,0.28,0.84

21,14.12,0.33,67.0,297.35,14.93,8.48,0.45,0.9
21,22.44,0.26,74.0,346.11,14.05,11.33,0.37,0.89
21,19.57,0.3,70.0,292.59,14.86,9.43,0.4,0.9
21,37.71,0.19,81.0,300.59,14.52,9.94,0.46,0.9
22,8.09,0.35,65.0,337.79,10.55,20.33,0.25,0.68
22,45.11,0.16,84.0,273.25,10.98,19.38,0.24,0.68
22,35.94,0.22,78.0,257.89,9.95,20.7,0.33,0.68

23,30.36,0.21,79.0,350.51,14.58,11.52,0.44,0.7423,9.85,0.33,67.0,361.02,13.7,11.27,0.19,0.74

23,19.8,0.28,72.0,336.78,7.83,26.16,0.43,0.74

24,64.52,0.03,97.0,304.59,3.98,36.24,0.43,0.79
24,62.01,0.05,95.0,295.36,4.0,35.54,0.52,0.79

24,63.96,0.03,97.0,310.39,4.0,32.77,0.57,0.79
224,62.42,0.05,95.0,291.07,4.0,36.17,0.5,0.79
25,43.61,0.15,85.0,311.16,10.17,18.24,0.39,0.8
25,48.04,0.14,86.0,279.3,11.28,15.41,0.5,0.8
25,47.18,0.13,87.0,308.99,9.9,19.36,0.32,0.79

26,41.63,0.23,77.0,161.5,8.79,23.13,0.14,0.72
26,39.65,0.25,75.0,138.83,7.79,24.21,0.13,0.72

27,62.27,0.08,92.0,258.69,1.85,37.33,0.67,0.67
27,21.55,0.29,71.0,288.79,1.18,34.12,0.41,0.67
27,38.17,0.23,77.0,232.28,1.53,37.58,0.4,0.67
27,41.38,0.21,79.0,236.46,1.5,38.5,0.5,0.67
7
27,64.27,0.07,93.0,255.87,1.87,39.72,0.44,0.67
28,67.9,0.05,95.0,233.38,7.4,20.95,0.48,0.69
28,66.89,0.06,94.0,225.38,7.61,21.24,0.46,0.69
228,37.65,0.2,80.0,280.13,7.28,20.65,0.34,0.69
28,64.11,0.07,93.0,236.15,7.47,20.74,0.47,0.69
29,73.39,0.0,100.0,266.79,4.12,42.3,0.66,0.85

229,73.69,0.0,100.0,263.83,4.12,42.26,0.67,0.85
30,41.28,0.12,88.0,395.18,5.15,26.13,0.56,0.77
30,33.19,0.17,83.0,395.86,5.06,25.88,0.53,0.77
30,42.88,0.11,89.0,395.25,5.52,25.24,0.56,0.77
30,40.85,0.12,88.0,400.06,5.02,25.53,0.53,0.77
30,36.15,0.15,85.0,398.86,5.42,25.04,0.55,0.77
31,61.13,0.03,97.0,339.49,4.46,37.21,0.55,0.72
31,65.27,0.0,100.0,348.0,5.46,34.06,0.42,0.72
31,61.86,0.02,98.0,349.05,5.33,33.13,0.43,0.72
32,59.39,0.05,95.0,322.93,8.88,21.47,0.51,0.83
32,21.09,0.24,76.0,407.3,4.17,29.77,0.49,0.83

33,57.1,0.02,98.0,397.59,2.59,39.38,0.57,0.9

33,58.02,0.02,98.0,388.16,3.16,38.79,0.4,0.9
34,68.46,0.02,98.0,281.76,7.86,21.71,0.5,0.48
34,66.75,0.03,97.0,281.61,7.78,21.6,0.52,0.48

35,47.47,0.15,85.0,265.81,3.82,32.75,0.43,0.72
5,41.99,0.21,79.0,203.51,2.75,33.76,0.44,0.73
35,40.98,0.21,79.0,216.2,3.73,32.53,0.45,0.72

36,61.46,0.07,93.0,264.59,3.9,34.61,0.41,0.87
36,59.73,0.09,91.0,245.44,3.74,34.86,0.42,0.87
37,57.81,0.03,97.0,373.7,3.88,42.27,0.64,0.9
37,54.72,0.05,95.0,372.01,3.84,41.65,0.65,0.9
37,50.59,0.11,89.0,308.67,3.36,40.55,0.41,0.9
38,69.61,0.01,99.0,287.46,11.58,15.16,0.4,0.87
38,75.17,0.03,97.0,194.95,6.89,24.85,0.47,0.88
39,66.96,0.02,98.0,297.08,3.84,34.59,0.48,0.45
39,66.27,0.03,97.0,286.56,2.06,39.4,0.63,0.45
40,71.35,0.0,100.0,287.26,5.04,36.84,0.6,0.54

40,71.36,0.0,100.0,287.08,5.32,36.5,0.59,0.54

41,58.32,0.06,94.0,316.42,9.84,18.32,0.45,0.61
41,44.41,0.18,82.0,239.65,4.85,29.06,0.32,0.61
42,18.16,0.31,69.0,288.23,1.0,33.55,0.53,0.75
42,16.17,0.32,68.0,292.35,1.01,33.43,0.51,0.75
42,15.36,0.32,68.0,304.18,1.0,33.54,0.53,0.75
43,27.52,0.25,75.0,380.35,1.2,37.52,0.38,0.88

43,26.28,0.26,74.0,375.19,1.11,37.15,0.43,0.88
43,24.5,0.27,73.0,377.29,1.12,36.34,0.39,0.88

44,58.54,0.03,97.0,366.22,2.02,41.32,0.67,0.59
44,60.86,0.03,97.0,342.3,2.49,40.4,0.39,0.59


44,58.42,0.03,97.0,367.43,2.19,40.68,0.44,0.59
44,59.17,0.03,97.0,359.68,2.04,41.38,0.68,0.59
44,58.47,0.03,97.0,366.94,2.21,40.77,0.5,0.61
45,67.54,0.0,100.0,325.28,3.97,37.98,0.71,1.28
45,65.02,0.01,99.0,333.8,3.61,38.15,0.65,1.28

46,6.12,0.29,71.0,505.9,1.39,27.46,0.53,0.99
446,5.97,0.29,71.0,508.01,1.49,27.73,0.5,0.99
,4.79,0.3,70.0,503.5,1.5,27.38,0.57,0.99
47,33.86,0.22,78.0,284.54,3.42,32.48,0.3,1.03

47,65.64,0.03,97.0,293.13,3.86,39.75,0.42,1.03
48,71.36,0.03,97.0,234.15,2.62,37.61,0.45,1.0
48,67.67,0.03,97.0,272.2,2.29,38.31,0.54,1.0

49,54.97,0.09,91.0,297.72,3.53,35.83,0.55,0.75
