r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-24.916487,100,2.575678,-1.0,5.0,-24.92,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-29.571669,100,2.575678,-1.0,5.0,-29.57,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-27.821869,100,2.575678,-1.0,4.0,-27.82,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-40.963654,100,2.575678,-1.0,4.0,-40.96,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-27.779041,100,2.575678,0.87,0.0,-27.78,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-39.157486,100,2.576662,-1.0,5.0,-39.16,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-35.101307,100,2.576662,-1.0,4.0,-35.1,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-9.093778,100,2.576662,-1.0,5.0,-9.09,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-9.370568,100,5.316195,-1.0,5.0,-9.37,0.49,51.0,223.73,13.97,5.9,0.64,1.26
-9.419839,100,5.316195,0.78,4.0,-9.42,0.49,51.0,224.69,14.16,5.56,0.65,1.26
-9.384986,100,5.316195,0.78,4.0,-9.38,0.49,51.0,224.01,14.03,5.85,0.65,1.26
-25.359512,100,5.316195,-1.0,5.0,-25.36,0.58,42.0,223.62,14.03,5.82,0.64,1.26
-7.6077375,100,5.316195,-1.0,5.0,-7.61,0.48,52.0,224.0,14.02,5.81,0.64,1.26
-16.519646,100,5.316195,-1.0,5.0,-16.52,0.53,47.0,224.6,14.2,5.43,0.65,1.26
-21.81507,100,5.316195,-1.0,5.0,-21.82,0.56,44.0,223.85,14.07,5.79,0.65,1.26
-16.501934,100,5.316195,-1.0,5.0,-16.5,0.53,47.0,224.22,14.12,5.56,0.65,1.26
-11.745513,100,8.048747,0.72,4.0,-11.75,0.49,51.0,270.25,13.48,8.42,0.62,1.37
-20.521227,100,8.048747,0.72,4.0,-20.52,0.54,46.0,272.93,13.49,8.5,0.62,1.38
-16.933859,100,8.048747,0.72,4.0,-16.93,0.52,48.0,270.19,13.58,8.6,0.63,1.38
-29.056145,100,8.049747,-1.0,5.0,-29.06,0.59,41.0,270.39,13.77,7.79,0.64,1.37
-31.023981,100,8.049747,0.72,4.0,-31.02,0.6,40.0,276.32,13.55,8.34,0.63,1.37
-20.678595,100,8.049747,0.72,4.0,-20.68,0.54,46.0,276.35,13.25,9.47,0.59,1.38
-27.40533,100,8.049747,-1.0,5.0,-27.41,0.58,42.0,272.28,13.65,7.98,0.63,1.37
-21.913767,100,8.049747,0.72,4.0,-21.91,0.55,45.0,265.49,13.85,7.62,0.64,1.37
-30.79309,100,9.481955,0.61,4.0,-30.79,0.57,43.0,391.15,12.69,9.43,0.64,1.49
-24.254938,100,9.481955,0.61,4.0,-24.25,0.53,47.0,389.01,12.71,9.46,0.64,1.49
-16.115562,100,9.481955,-1.0,5.0,-16.12,0.48,52.0,387.45,12.76,9.35,0.64,1.49
-25.730879,100,9.481955,0.61,4.0,-25.73,0.54,46.0,386.07,12.52,9.78,0.63,1.49
-27.41039,100,9.481955,-1.0,5.0,-27.41,0.55,45.0,387.51,12.56,9.74,0.63,1.49
-24.16933,100,9.481955,0.61,4.0,-24.17,0.53,47.0,387.19,12.61,9.56,0.64,1.49
-47.214863,100,9.481955,0.61,4.0,-47.21,0.67,33.0,401.05,12.76,9.3,0.64,1.49
-29.029625,100,9.481955,0.61,4.0,-29.03,0.56,44.0,387.65,12.52,9.83,0.63,1.49
-18.519897,100,10.932616,-1.0,5.0,-18.52,0.5,50.0,371.03,13.1,5.53,0.55,0.63
-12.2064905,100,10.932616,0.62,4.0,-12.21,0.45,55.0,404.35,13.51,5.58,0.6,0.63
-31.112865,100,10.932616,0.66,4.0,-31.11,0.57,43.0,398.58,13.55,5.62,0.59,0.63
-15.489603,100,10.932616,0.69,4.0,-15.49,0.48,52.0,375.43,13.53,5.44,0.58,0.63
-24.736446,100,10.932616,0.66,4.0,-24.74,0.53,47.0,399.25,13.39,5.91,0.58,0.63
-42.056538,100,10.932616,-1.0,5.0,-42.06,0.63,37.0,434.53,13.2,5.62,0.58,0.63
-19.678131,100,10.932616,0.71,4.0,-19.68,0.5,50.0,394.17,13.35,5.75,0.57,0.63
-48.967953,100,10.932616,-1.0,5.0,-48.97,0.68,32.0,405.84,13.5,5.64,0.58,0.63
-15.347461,100,12.881573,0.78,4.0,-15.35,0.53,47.0,199.68,11.31,8.38,0.56,0.65
-18.782633,100,12.881573,-1.0,5.0,-18.78,0.55,45.0,195.97,10.68,8.99,0.53,0.66
-14.967458,100,12.881573,0.78,4.0,-14.97,0.53,47.0,191.61,10.87,8.6,0.55,0.66
-3.7974575,100,12.881573,-1.0,5.0,-3.8,0.47,53.0,185.67,10.6,9.67,0.53,0.66
-22.754963,100,12.881573,-1.0,5.0,-22.75,0.57,43.0,204.4,10.61,9.72,0.46,0.66
-11.888208,100,12.881573,-1.0,5.0,-11.89,0.51,49.0,202.6,10.55,10.67,0.51,0.65
-10.587314,100,12.882572,-1.0,5.0,-10.59,0.51,49.0,176.08,11.54,8.1,0.59,0.66
-16.323013,100,12.882572,-1.0,5.0,-16.32,0.54,46.0,181.75,11.22,8.27,0.57,0.65
-18.154205,100,15.709571,0.89,4.0,-18.15,0.55,45.0,182.02,11.58,8.68,0.54,1.14
-12.756332,100,15.709571,0.91,4.0,-12.76,0.52,48.0,183.24,11.03,9.03,0.54,1.14
-14.80393,100,15.709571,-1.0,5.0,-14.8,0.53,47.0,188.13,10.55,10.34,0.52,1.14
-14.940996,100,15.709571,-1.0,5.0,-14.94,0.53,47.0,191.04,11.88,8.44,0.59,1.14
-20.275146,100,15.709571,-1.0,5.0,-20.28,0.56,44.0,188.88,11.6,9.45,0.58,1.14
-19.168533,100,15.709571,-1.0,5.0,-19.17,0.55,45.0,204.54,11.89,8.31,0.61,1.14
-18.381643,100,15.709571,0.88,4.0,-18.38,0.55,45.0,187.07,11.68,8.62,0.55,1.14
-13.374248,100,15.709571,0.89,4.0,-13.37,0.52,48.0,196.1,11.06,9.21,0.52,1.14
-19.396706,100,17.939168,-1.0,5.0,-19.4,0.56,44.0,168.94,1.4,14.05,0.42,1.37
-19.333172,100,17.939168,-1.0,5.0,-19.33,0.56,44.0,167.5,1.49,14.61,0.37,1.37
-37.918365,100,17.939168,-1.0,5.0,-37.92,0.66,34.0,174.9,1.5,14.35,0.4,1.37
-8.15212,100,17.939168,0.95,4.0,-8.15,0.5,50.0,163.88,1.57,14.35,0.33,1.37
0.113970175,100,17.939168,0.95,4.0,0.11,0.46,54.0,146.89,1.53,15.24,0.34,1.37
-35.616608,100,17.939168,-1.0,5.0,-35.62,0.65,35.0,161.31,1.5,15.86,0.39,1.37
-17.4775,100,17.939168,0.93,4.0,-17.48,0.55,45.0,167.0,1.53,15.67,0.33,1.37
-11.215729,100,17.939168,0.93,4.0,-11.22,0.52,48.0,151.18,1.55,14.42,0.35,1.37
-25.902771,100,19.963941,-1.0,5.0,-25.9,0.52,48.0,456.85,12.95,7.94,0.64,0.95
-33.77405,100,19.964938,-1.0,5.0,-33.77,0.57,43.0,460.4,12.87,8.12,0.64,0.95
-33.67195,100,19.964938,-1.0,5.0,-33.67,0.57,43.0,458.03,12.59,8.51,0.63,0.95
-40.144535,100,19.964938,-1.0,5.0,-40.14,0.61,39.0,465.78,13.01,7.8,0.65,0.96
-40.073093,100,19.964938,-1.0,4.0,-40.07,0.61,39.0,463.95,12.79,8.03,0.64,0.96
-35.499023,100,19.964938,-1.0,5.0,-35.5,0.58,42.0,464.8,13.29,7.2,0.65,0.95
-33.753418,100,19.964938,-1.0,4.0,-33.75,0.57,43.0,459.92,12.8,8.15,0.64,0.96
-16.367798,100,19.964938,-1.0,5.0,-16.37,0.46,54.0,451.8,12.81,8.02,0.64,0.96
-31.57772,100,21.822113,0.77,4.0,-31.58,0.61,39.0,246.34,6.26,11.54,0.63,0.95
-35.112953,100,21.822113,0.77,4.0,-35.11,0.63,37.0,247.05,6.27,11.57,0.63,0.95
-22.738646,100,21.822113,0.77,4.0,-22.74,0.56,44.0,244.82,6.35,10.96,0.64,0.95
-24.705278,100,21.822113,0.77,4.0,-24.71,0.57,43.0,249.71,6.13,12.18,0.62,0.95
-22.880848,100,21.822113,-1.0,5.0,-22.88,0.56,44.0,248.04,6.21,11.9,0.63,0.95
-19.22456,100,21.822113,0.77,4.0,-19.22,0.54,46.0,244.77,6.36,11.22,0.64,0.95
-26.387442,100,21.822113,-1.0,5.0,-26.39,0.58,42.0,248.07,6.23,11.72,0.63,0.95
-31.742912,100,21.822113,-1.0,5.0,-31.74,0.61,39.0,250.57,6.13,11.53,0.62,0.95
-14.90448,100,23.617409,-1.0,5.0,-14.9,0.54,46.0,150.95,12.36,7.6,0.57,0.79
-22.765028,100,23.617409,-1.0,5.0,-22.77,0.58,42.0,161.91,12.76,7.87,0.62,0.79
-10.803244,100,23.617409,-1.0,5.0,-10.8,0.52,48.0,142.59,12.12,7.86,0.56,0.79
-31.882061,100,23.617409,-1.0,5.0,-31.88,0.63,37.0,159.82,12.79,7.21,0.61,0.79
-12.950302,100,23.617409,0.83,4.0,-12.95,0.53,47.0,148.73,12.73,7.17,0.58,0.79
-7.5280457,100,23.617409,0.83,4.0,-7.53,0.5,50.0,151.41,12.37,7.96,0.57,0.8
-24.505388,100,23.617409,-1.0,5.0,-24.51,0.59,41.0,159.51,12.26,7.4,0.57,0.79
