r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-32.814365,100,2.408686,-1.0,5.0,-32.81,0.58,42.0,213.08,5.84,10.42,0.59,0.0
-36.746204,100,2.408686,-1.0,5.0,-36.75,0.61,39.0,194.95,5.93,10.73,0.56,0.0
-34.67147,100,2.408686,-1.0,4.0,-34.67,0.6,40.0,196.35,5.64,11.51,0.54,0.0
-46.92032,100,2.409686,-1.0,4.0,-46.92,0.67,33.0,211.81,5.99,9.75,0.59,0.0
-35.10059,100,2.409686,0.66,0.0,-35.1,0.6,40.0,195.28,6.01,10.21,0.56,0.0
-45.473263,100,2.409686,-1.0,5.0,-45.47,0.66,34.0,211.3,5.98,9.95,0.58,0.0
-41.419,100,2.409686,-1.0,4.0,-41.42,0.64,36.0,198.06,5.94,10.94,0.55,0.0
-18.132366,100,2.409686,-1.0,5.0,-18.13,0.5,50.0,182.69,5.78,10.65,0.55,0.0
-19.75264,100,4.473875,-1.0,5.0,-19.75,0.49,51.0,232.08,13.61,7.11,0.62,1.03
-20.058434,100,4.473875,0.56,4.0,-20.06,0.49,51.0,224.69,14.16,5.56,0.65,1.03
-19.993563,100,4.473875,0.57,4.0,-19.99,0.49,51.0,224.01,14.03,5.85,0.65,1.03
-30.085213,100,4.473875,-1.0,5.0,-30.09,0.56,44.0,230.24,13.81,6.76,0.61,1.03
-18.51707,100,4.473875,-1.0,5.0,-18.52,0.48,52.0,224.0,14.02,5.81,0.64,1.03
-26.537739,100,4.473875,-1.0,5.0,-26.54,0.53,47.0,224.6,14.2,5.43,0.65,1.03
-31.055946,100,4.473875,-1.0,5.0,-31.06,0.56,44.0,228.8,13.89,6.23,0.64,1.03
-24.293612,100,4.473875,-1.0,5.0,-24.29,0.52,48.0,224.0,13.99,6.0,0.64,1.03
-20.804909,100,6.774399,0.55,4.0,-20.8,0.49,51.0,270.25,13.48,8.42,0.62,0.79
-28.761034,100,6.774399,0.55,4.0,-28.76,0.54,46.0,272.93,13.49,8.5,0.62,0.79
-25.247139,100,6.774399,0.55,4.0,-25.25,0.52,48.0,270.29,13.56,8.4,0.62,0.79
-36.155537,100,6.774399,-1.0,5.0,-36.16,0.59,41.0,270.39,13.77,7.79,0.64,0.79
-38.15311,100,6.774399,0.55,4.0,-38.15,0.6,40.0,276.32,13.55,8.34,0.63,0.79
-28.852104,100,6.774399,0.55,4.0,-28.85,0.54,46.0,272.06,13.53,8.39,0.62,0.79
-34.934204,100,6.774399,-1.0,5.0,-34.93,0.58,42.0,272.28,13.65,7.98,0.63,0.79
-30.092411,100,6.774399,0.54,4.0,-30.09,0.55,45.0,265.49,13.85,7.62,0.64,0.79
-36.13673,100,8.964626,0.49,4.0,-36.14,0.57,43.0,391.15,12.69,9.43,0.64,0.98
-30.083313,100,8.964626,0.49,4.0,-30.08,0.53,47.0,389.01,12.71,9.46,0.64,0.98
-22.688457,100,8.965621,-1.0,5.0,-22.69,0.48,52.0,387.45,12.76,9.35,0.64,0.98
-31.314182,100,8.965621,0.49,4.0,-31.31,0.54,46.0,386.07,12.52,9.78,0.63,0.97
-32.852,100,8.965621,-1.0,5.0,-32.85,0.55,45.0,387.51,12.56,9.74,0.63,0.98
-30.042938,100,8.965621,0.49,4.0,-30.04,0.53,47.0,387.19,12.61,9.56,0.64,0.98
-51.19419,100,8.965621,0.49,4.0,-51.19,0.67,33.0,401.05,12.76,9.3,0.64,0.97
-34.742283,100,8.965621,0.49,4.0,-34.74,0.56,44.0,390.94,12.72,9.27,0.64,0.98
-23.657795,100,11.18878,-1.0,5.0,-23.66,0.5,50.0,370.06,13.32,5.54,0.56,0.89
-19.536026,100,11.18878,0.51,4.0,-19.54,0.46,54.0,403.95,13.61,5.59,0.61,0.89
-35.440937,100,11.18878,0.54,4.0,-35.44,0.57,43.0,398.58,13.55,5.62,0.59,0.89
-21.035217,100,11.18878,0.55,4.0,-21.04,0.48,52.0,375.43,13.53,5.44,0.58,0.89
-29.136858,100,11.18878,0.54,4.0,-29.14,0.53,47.0,399.25,13.39,5.91,0.58,0.89
-45.345173,100,11.18878,-1.0,5.0,-45.35,0.63,37.0,430.1,13.5,5.63,0.59,0.89
