episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-38.8,0.86,14.0,86.0,14.0,0.0,599.89,4.0,41.35,0.92,0.08
2,-4.2,0.61,39.0,61.0,39.0,0.0,656.09,8.0,43.78,0.92,0.1
3,-54.0,0.95,5.0,95.0,5.0,0.0,471.51,1.0,60.37,0.92,0.09
4,19.0,0.19,81.0,19.0,81.0,0.0,610.54,16.0,47.3,0.92,0.15
5,-27.8,0.81,19.0,81.0,19.0,0.0,568.45,4.0,46.05,0.92,0.17
6,-42.33,0.95,5.0,95.0,5.0,0.0,405.52,2.0,56.81,0.92,0.12
7,8.4,0.58,42.0,58.0,42.0,0.0,520.05,8.0,43.59,0.92,0.13
8,-40.0,0.93,7.0,93.0,7.0,0.0,653.84,1.0,54.87,0.92,0.1
9,-28.0,0.9,10.0,90.0,10.0,0.0,527.86,4.0,57.07,0.92,0.1
10,-10.33,0.65,35.0,65.0,35.0,0.0,426.36,8.0,44.31,0.92,0.18
11,76.2,0.49,51.0,49.0,51.0,0.0,361.29,8.0,45.68,0.92,0.19
12,-43.2,0.84,16.0,84.0,16.0,0.0,343.66,4.0,46.09,0.92,0.12
13,16.0,0.16,84.0,16.0,84.0,0.0,559.25,16.0,45.39,0.92,0.14
14,25.0,0.25,75.0,25.0,75.0,0.0,543.52,16.0,45.66,0.92,0.18
15,-12.0,0.8,20.0,80.0,20.0,0.0,589.77,4.0,44.18,0.92,0.11
16,-23.2,0.84,16.0,84.0,16.0,0.0,408.45,4.0,49.91,0.92,0.16
17,-9.07,0.72,28.0,72.0,28.0,0.0,696.82,8.0,50.82,0.92,0.15
18,80.87,0.59,41.0,59.0,41.0,0.0,619.23,8.0,48.03,0.92,0.18
19,22.0,0.22,78.0,22.0,78.0,0.0,525.51,16.0,49.27,0.92,0.17
20,-42.67,0.9,10.0,90.0,10.0,0.0,555.08,2.0,51.55,0.92,0.14
21,-36.8,0.88,12.0,88.0,12.0,0.0,609.8,2.0,59.09,0.92,0.22
22,-48.0,0.93,7.0,93.0,7.0,0.0,462.35,1.0,64.15,0.92,0.13
23,-48.33,0.95,5.0,95.0,5.0,0.0,389.9,2.0,41.76,0.92,0.12
24,-41.6,0.82,18.0,82.0,18.0,0.0,476.78,4.0,42.67,0.92,0.11
25,14.0,0.14,86.0,14.0,86.0,0.0,553.34,16.0,48.66,0.92,0.2
26,18.0,0.18,82.0,18.0,82.0,0.0,474.43,16.0,50.16,0.92,0.16
27,-44.0,0.94,6.0,94.0,6.0,0.0,495.9,1.0,62.26,0.92,0.08
28,-44.67,0.9,10.0,90.0,10.0,0.0,423.73,2.0,58.32,0.92,0.09
29,6.4,0.58,42.0,58.0,42.0,0.0,633.52,8.0,37.61,0.92,0.09
30,20.0,0.2,80.0,20.0,80.0,0.0,649.61,16.0,45.3,0.92,0.16
31,-42.0,0.92,8.0,92.0,8.0,0.0,361.58,1.0,62.5,0.92,0.15
32,-34.93,0.86,14.0,86.0,14.0,0.0,584.79,2.0,60.01,0.92,0.09
33,18.0,0.18,82.0,18.0,82.0,0.0,607.88,16.0,45.86,0.92,0.11
34,-46.53,0.92,8.0,92.0,8.0,0.0,492.5,2.0,57.62,0.92,0.08
35,-31.4,0.83,17.0,83.0,17.0,0.0,477.03,4.0,45.31,0.92,0.08
36,-37.4,0.83,17.0,83.0,17.0,0.0,607.54,4.0,38.32,0.92,0.09
37,-34.47,0.93,7.0,93.0,7.0,0.0,660.35,2.0,61.42,0.92,0.09
38,32.0,0.94,6.0,94.0,6.0,0.0,575.82,1.0,68.18,0.92,0.09
39,-1.4,0.67,33.0,67.0,33.0,0.0,456.45,8.0,47.4,0.92,0.11
40,0.87,0.59,41.0,59.0,41.0,0.0,593.95,8.0,42.28,0.92,0.13
41,3.93,0.57,43.0,57.0,43.0,0.0,549.96,8.0,43.68,0.92,0.14
42,-28.8,0.86,14.0,86.0,14.0,0.0,496.37,4.0,49.59,0.92,0.12
43,5.67,0.65,35.0,65.0,35.0,0.0,502.45,8.0,42.8,0.92,0.17
44,5.33,0.6,40.0,60.0,40.0,0.0,660.02,8.0,48.07,0.92,0.15
45,15.33,0.6,40.0,60.0,40.0,0.0,469.69,8.0,43.14,0.92,0.13
46,-56.0,0.96,4.0,96.0,4.0,0.0,492.97,1.0,44.31,0.92,0.11
47,47.8,0.89,11.0,89.0,11.0,0.0,518.76,4.0,42.95,0.92,0.12
48,2.87,0.59,41.0,59.0,41.0,0.0,737.17,8.0,41.36,0.92,0.16
49,-54.0,0.94,6.0,94.0,6.0,0.0,503.22,1.0,55.21,0.92,0.12
50,21.0,0.21,79.0,21.0,79.0,0.0,472.99,16.0,44.56,0.92,0.23
51,-44.6,0.91,9.0,91.0,9.0,0.0,717.17,2.0,57.34,0.92,0.16
52,-46.0,0.93,7.0,93.0,7.0,0.0,654.13,1.0,58.36,0.92,0.12
53,-48.0,0.95,5.0,95.0,5.0,0.0,533.75,1.0,71.12,0.92,0.15
54,-20.67,0.9,10.0,90.0,10.0,0.0,466.8,2.0,57.05,0.92,0.11
55,-36.0,0.92,8.0,92.0,8.0,0.0,374.28,1.0,59.27,0.92,0.16
56,-28.93,0.86,14.0,86.0,14.0,0.0,534.38,2.0,60.31,0.92,0.12
57,24.0,0.24,76.0,24.0,76.0,0.0,445.92,16.0,49.59,0.92,0.16
58,-32.73,0.89,11.0,89.0,11.0,0.0,379.65,2.0,66.09,0.92,0.16
59,-40.6,0.87,13.0,87.0,13.0,0.0,541.32,4.0,58.67,0.92,0.13
60,-8.33,0.65,35.0,65.0,35.0,0.0,582.16,8.0,45.56,0.92,0.13
61,-28.0,0.88,12.0,88.0,12.0,0.0,654.85,1.0,59.8,0.92,0.11
62,28.0,0.28,72.0,28.0,72.0,0.0,582.05,16.0,44.91,0.92,0.25
63,26.0,0.26,74.0,26.0,74.0,0.0,530.83,16.0,48.73,0.92,0.25
64,-32.0,0.9,10.0,90.0,10.0,0.0,406.0,4.0,53.21,0.92,0.13
65,-37.6,0.82,18.0,82.0,18.0,0.0,392.55,4.0,40.55,0.92,0.17
66,20.0,0.2,80.0,20.0,80.0,0.0,474.48,16.0,51.73,0.92,0.22
67,-28.6,0.87,13.0,87.0,13.0,0.0,618.27,4.0,44.66,0.92,0.13
68,-15.2,0.84,16.0,84.0,16.0,0.0,377.21,4.0,52.36,0.92,0.2
69,-38.4,0.88,12.0,88.0,12.0,0.0,494.55,4.0,33.75,0.92,0.15
70,-58.27,0.96,4.0,96.0,4.0,0.0,508.49,2.0,53.3,0.92,0.1
71,-37.4,0.83,17.0,83.0,17.0,0.0,486.16,4.0,28.4,0.92,0.17
72,-36.0,0.9,10.0,90.0,10.0,0.0,505.33,4.0,46.4,0.92,0.11
73,-0.8,0.64,36.0,64.0,36.0,0.0,572.22,8.0,51.14,0.92,0.16
74,-34.6,0.87,13.0,87.0,13.0,0.0,396.32,4.0,48.13,0.92,0.16
75,32.8,0.84,16.0,84.0,16.0,0.0,398.43,4.0,57.74,0.92,0.09
76,-33.0,0.85,15.0,85.0,15.0,0.0,502.7,4.0,45.03,0.92,0.11
77,16.0,0.16,84.0,16.0,84.0,0.0,447.5,16.0,45.85,0.92,0.21
78,-22.93,0.68,32.0,68.0,32.0,0.0,515.16,8.0,45.25,0.92,0.14
79,63.27,0.89,11.0,89.0,11.0,0.0,485.35,2.0,66.42,0.92,0.17
80,-40.67,0.9,10.0,90.0,10.0,0.0,633.9,2.0,56.76,0.92,0.12
81,-36.0,0.91,9.0,91.0,9.0,0.0,483.3,1.0,69.21,0.92,0.11
82,25.0,0.25,75.0,25.0,75.0,0.0,478.55,16.0,51.72,0.92,0.17
