episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,21.67,0.65,35.0,65.0,35.0,0.0,573.4,8.0,36.26,0.94,0.16
2,39.0,0.39,61.0,39.0,61.0,0.0,588.78,16.0,52.02,0.94,0.17
3,-20.2,0.97,3.0,97.0,3.0,0.0,528.03,2.0,83.18,0.94,0.12
4,3.6,0.94,6.0,94.0,6.0,0.0,465.62,2.0,73.75,0.94,0.13
5,28.6,0.67,33.0,67.0,33.0,0.0,461.19,8.0,45.04,0.94,0.16
6,27.87,0.74,26.0,74.0,26.0,0.0,438.22,8.0,43.23,0.94,0.15
7,-30.13,0.98,2.0,98.0,2.0,0.0,508.61,2.0,80.9,0.94,0.12
8,-13.4,0.93,7.0,93.0,7.0,0.0,549.46,4.0,52.72,0.94,0.15
9,15.13,0.81,19.0,81.0,19.0,0.0,616.09,8.0,34.52,0.94,0.16
10,25.07,0.68,32.0,68.0,32.0,0.0,448.76,8.0,39.41,0.94,0.17
11,19.53,0.69,31.0,69.0,31.0,0.0,459.61,8.0,38.47,0.94,0.19
12,-10.27,0.96,4.0,96.0,4.0,0.0,573.1,2.0,65.06,0.94,0.14
13,27.4,0.73,27.0,73.0,27.0,0.0,670.96,8.0,47.71,0.94,0.17
14,36.93,0.72,28.0,72.0,28.0,0.0,614.97,8.0,58.94,0.94,0.14
15,-4.47,0.93,7.0,93.0,7.0,0.0,635.71,2.0,59.79,0.94,0.18
16,42.0,0.42,58.0,42.0,58.0,0.0,412.24,16.0,51.75,0.94,0.16
17,26.6,0.67,33.0,67.0,33.0,0.0,487.87,8.0,33.37,0.94,0.14
18,-2.0,0.9,10.0,90.0,10.0,0.0,663.27,4.0,47.29,0.94,0.19
19,-10.6,0.87,13.0,87.0,13.0,0.0,556.9,4.0,37.85,0.94,0.3
20,46.0,0.46,54.0,46.0,54.0,0.0,444.41,16.0,46.71,0.94,0.22
21,31.4,0.73,27.0,73.0,27.0,0.0,475.71,8.0,40.83,0.94,0.28
22,23.07,0.68,32.0,68.0,32.0,0.0,430.32,8.0,41.08,0.94,0.29
23,5.4,0.87,13.0,87.0,13.0,0.0,501.48,4.0,49.64,0.94,0.19
24,8.13,0.66,34.0,66.0,34.0,0.0,717.55,8.0,50.73,0.94,0.28
25,-10.0,0.96,4.0,96.0,4.0,0.0,578.93,1.0,67.17,0.94,0.27
26,50.0,0.5,50.0,50.0,50.0,0.0,718.12,16.0,50.72,0.94,0.18
27,14.0,0.97,3.0,97.0,3.0,0.0,539.39,1.0,76.97,0.94,0.11
28,14.27,0.62,38.0,62.0,38.0,0.0,498.17,8.0,36.54,0.94,0.12
29,38.0,0.38,62.0,38.0,62.0,0.0,444.34,16.0,45.0,0.94,0.14
30,26.6,0.67,33.0,67.0,33.0,0.0,614.66,8.0,42.26,0.94,0.15
31,24.13,0.66,34.0,66.0,34.0,0.0,469.13,8.0,44.47,0.94,0.13
32,9.67,0.95,5.0,95.0,5.0,0.0,512.58,2.0,52.87,0.94,0.11
33,47.0,0.47,53.0,47.0,53.0,0.0,545.01,16.0,46.39,0.94,0.14
34,26.6,0.67,33.0,67.0,33.0,0.0,420.01,8.0,38.93,0.94,0.13
35,8.8,0.94,6.0,94.0,6.0,0.0,432.76,4.0,41.68,0.94,0.12
36,43.0,0.43,57.0,43.0,57.0,0.0,571.96,16.0,48.39,0.94,0.15
37,4.0,0.9,10.0,90.0,10.0,0.0,488.07,1.0,69.82,0.94,0.11
38,-4.33,0.95,5.0,95.0,5.0,0.0,501.51,2.0,63.18,0.94,0.1
39,-11.8,0.91,9.0,91.0,9.0,0.0,389.32,4.0,58.64,0.94,0.13
40,33.53,0.69,31.0,69.0,31.0,0.0,616.23,8.0,47.95,0.94,0.29
41,40.0,0.4,60.0,40.0,60.0,0.0,438.22,16.0,44.06,0.94,0.38
42,-4.0,0.94,6.0,94.0,6.0,0.0,585.62,1.0,70.93,0.94,0.31
43,31.87,0.74,26.0,74.0,26.0,0.0,489.87,8.0,47.73,0.94,0.31
44,37.0,0.37,63.0,37.0,63.0,0.0,398.48,16.0,43.74,0.94,0.31
45,-4.33,0.95,5.0,95.0,5.0,0.0,506.55,2.0,71.22,0.94,0.29
46,54.0,0.54,46.0,54.0,46.0,0.0,568.32,16.0,55.35,0.94,0.44
47,0.0,0.9,10.0,90.0,10.0,0.0,517.55,4.0,43.71,0.94,0.3
48,50.0,0.5,50.0,50.0,50.0,0.0,586.77,16.0,41.47,0.94,0.33
49,39.0,0.39,61.0,39.0,61.0,0.0,510.82,16.0,50.68,0.94,0.43
50,8.0,0.94,6.0,94.0,6.0,0.0,440.13,1.0,65.67,0.94,0.31
51,23.4,0.73,27.0,73.0,27.0,0.0,501.59,8.0,48.49,0.94,0.32
52,-11.4,0.93,7.0,93.0,7.0,0.0,496.91,4.0,54.67,0.94,0.28
53,-15.0,0.95,5.0,95.0,5.0,0.0,499.86,4.0,49.7,0.94,0.32
54,13.67,0.65,35.0,65.0,35.0,0.0,602.03,8.0,40.96,0.94,0.38
55,-18.0,0.93,7.0,93.0,7.0,0.0,599.91,1.0,70.87,0.94,0.32
56,0.0,0.95,5.0,95.0,5.0,0.0,604.59,1.0,59.43,0.94,0.29
57,-12.33,0.95,5.0,95.0,5.0,0.0,477.75,2.0,70.98,0.94,0.31
58,42.0,0.42,58.0,42.0,58.0,0.0,621.11,16.0,44.12,0.94,0.47
59,3.8,0.97,3.0,97.0,3.0,0.0,621.67,2.0,73.66,0.94,0.33
60,4.4,0.92,8.0,92.0,8.0,0.0,481.86,4.0,46.05,0.94,0.3
61,-2.27,0.96,4.0,96.0,4.0,0.0,642.11,2.0,67.25,0.94,0.38
62,49.0,0.49,51.0,49.0,51.0,0.0,510.53,16.0,48.81,0.94,0.41
63,-6.33,0.95,5.0,95.0,5.0,0.0,523.19,2.0,65.65,0.94,0.3
64,-9.0,0.85,15.0,85.0,15.0,0.0,367.29,2.0,63.25,0.94,0.35
65,2.0,0.96,4.0,96.0,4.0,0.0,525.92,1.0,70.98,0.94,0.35
66,48.0,0.95,5.0,95.0,5.0,0.0,403.0,1.0,75.71,0.94,0.34
67,-16.0,0.93,7.0,93.0,7.0,0.0,595.73,1.0,70.82,0.94,0.37
68,11.27,0.89,11.0,89.0,11.0,0.0,572.35,2.0,67.05,0.94,0.26
69,-13.0,0.95,5.0,95.0,5.0,0.0,446.56,4.0,39.29,0.94,0.34
70,-4.33,0.95,5.0,95.0,5.0,0.0,505.47,2.0,68.9,0.94,0.26
71,-16.13,0.98,2.0,98.0,2.0,0.0,570.73,2.0,68.63,0.94,0.31
72,-4.2,0.97,3.0,97.0,3.0,0.0,521.07,2.0,72.62,0.94,0.31
73,43.0,0.43,57.0,43.0,57.0,0.0,614.91,16.0,47.37,0.94,0.35
74,24.47,0.71,29.0,71.0,29.0,0.0,645.52,8.0,42.04,0.94,0.47
75,-8.33,0.95,5.0,95.0,5.0,0.0,638.72,2.0,73.41,0.94,0.35
76,-24.0,0.96,4.0,96.0,4.0,0.0,581.88,1.0,83.66,0.94,0.3
77,-14.0,0.94,6.0,94.0,6.0,0.0,630.69,1.0,61.84,0.94,0.26
78,29.27,0.77,23.0,77.0,23.0,0.0,425.01,8.0,44.75,0.94,0.29
79,-24.0,0.99,1.0,99.0,1.0,0.0,441.71,1.0,85.57,0.94,0.26
80,37.0,0.37,63.0,37.0,63.0,0.0,520.96,16.0,53.01,0.94,0.37
81,41.0,0.41,59.0,41.0,59.0,0.0,672.62,16.0,51.52,0.94,0.41
82,-8.33,0.95,5.0,95.0,5.0,0.0,469.96,2.0,70.14,0.94,0.32
83,47.4,0.87,13.0,87.0,13.0,0.0,525.89,4.0,53.75,0.94,0.29
84,10.0,0.9,10.0,90.0,10.0,0.0,610.91,4.0,43.85,0.94,0.31
85,-18.0,0.9,10.0,90.0,10.0,0.0,555.4,4.0,49.2,0.94,0.36
86,-4.0,0.91,9.0,91.0,9.0,0.0,429.74,1.0,70.93,0.94,0.3
87,-6.0,0.93,7.0,93.0,7.0,0.0,726.57,1.0,63.92,0.94,0.3
88,-14.0,0.94,6.0,94.0,6.0,0.0,484.91,1.0,73.34,0.94,0.41
89,23.67,0.65,35.0,65.0,35.0,0.0,518.69,8.0,42.6,0.94,0.51
90,35.0,0.35,65.0,35.0,65.0,0.0,637.64,16.0,44.32,0.94,0.53
91,-10.33,0.95,5.0,95.0,5.0,0.0,463.71,2.0,62.36,0.94,0.48
92,85.53,0.69,31.0,69.0,31.0,0.0,569.33,8.0,47.71,0.94,0.57
93,4.33,0.75,25.0,75.0,25.0,0.0,786.3,8.0,42.51,0.94,0.45
94,30.8,0.76,24.0,76.0,24.0,0.0,543.6,8.0,35.74,0.94,0.37
95,26.0,0.7,30.0,70.0,30.0,0.0,633.45,8.0,34.39,0.94,0.62
96,-15.2,0.94,6.0,94.0,6.0,0.0,580.62,4.0,77.82,0.94,0.23
97,26.13,0.66,34.0,66.0,34.0,0.0,462.52,8.0,46.63,0.94,0.16
98,26.93,0.72,28.0,72.0,28.0,0.0,386.69,8.0,44.08,0.94,0.2
99,40.0,0.4,60.0,40.0,60.0,0.0,477.68,16.0,50.85,0.94,0.23
100,-14.53,0.92,8.0,92.0,8.0,0.0,473.59,2.0,73.12,0.94,0.16
