episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-70.0,0.85,15.0,85.0,15.0,0.0,471.93,1.0,49.47,0.88,0.07
2,-71.0,0.85,15.0,85.0,15.0,0.0,474.09,2.0,43.63,0.88,0.07
3,0.0,0.0,100.0,0.0,100.0,0.0,500.33,16.0,41.51,0.88,0.09
4,-47.8,0.71,29.0,71.0,29.0,0.0,465.05,4.0,44.25,0.88,0.07
5,0.0,0.0,100.0,0.0,100.0,0.0,723.49,16.0,40.05,0.88,0.09
6,7.33,0.3,70.0,30.0,70.0,0.0,550.36,8.0,40.6,0.88,0.08
7,3.2,0.88,12.0,88.0,12.0,0.0,537.36,2.0,36.96,0.88,0.08
8,0.0,0.0,100.0,0.0,100.0,0.0,758.73,16.0,36.62,0.88,0.09
9,-76.0,0.88,12.0,88.0,12.0,0.0,359.66,1.0,50.01,0.88,0.06
10,0.0,0.0,100.0,0.0,100.0,0.0,428.31,16.0,39.9,0.88,0.09
11,0.0,0.0,100.0,0.0,100.0,0.0,517.64,16.0,39.78,0.88,0.09
12,-69.07,0.84,16.0,84.0,16.0,0.0,402.58,2.0,49.67,0.88,0.07
13,75.73,0.48,52.0,48.0,52.0,0.0,591.53,8.0,40.11,0.88,0.08
14,-63.27,0.81,19.0,81.0,19.0,0.0,555.45,2.0,47.78,0.88,0.07
15,87.0,0.75,25.0,75.0,25.0,0.0,553.01,4.0,40.92,0.88,0.07
16,72.47,0.41,59.0,41.0,59.0,0.0,404.45,8.0,43.29,0.88,0.08
17,-67.13,0.83,17.0,83.0,17.0,0.0,456.49,2.0,40.61,0.88,0.07
18,0.0,0.0,100.0,0.0,100.0,0.0,602.04,16.0,39.2,0.88,0.09
19,-69.07,0.84,16.0,84.0,16.0,0.0,525.26,2.0,53.11,0.88,0.06
20,72.93,0.42,58.0,42.0,58.0,0.0,657.88,8.0,45.97,0.88,0.09
21,18.87,0.83,17.0,83.0,17.0,0.0,401.86,2.0,52.11,0.88,0.07
22,0.0,0.0,100.0,0.0,100.0,0.0,715.89,16.0,39.22,0.88,0.1
23,0.0,0.0,100.0,0.0,100.0,0.0,466.04,16.0,39.9,0.88,0.1
24,-6.47,0.39,61.0,39.0,61.0,0.0,531.03,8.0,50.04,0.88,0.08
25,-82.0,0.91,9.0,91.0,9.0,0.0,436.86,1.0,63.46,0.88,0.07
26,-9.53,0.41,59.0,41.0,59.0,0.0,509.67,8.0,44.84,0.88,0.1
27,0.0,0.0,100.0,0.0,100.0,0.0,469.34,16.0,42.05,0.88,0.09
28,-64.0,0.82,18.0,82.0,18.0,0.0,503.7,1.0,62.31,0.88,0.07
29,0.0,0.0,100.0,0.0,100.0,0.0,415.87,16.0,41.3,0.88,0.12
30,-78.0,0.89,11.0,89.0,11.0,0.0,465.46,1.0,59.7,0.88,0.06
31,-69.07,0.84,16.0,84.0,16.0,0.0,435.21,2.0,60.69,0.88,0.08
32,-49.6,0.72,28.0,72.0,28.0,0.0,558.92,4.0,45.12,0.88,0.08
33,0.0,0.0,100.0,0.0,100.0,0.0,653.3,16.0,34.97,0.88,0.09
34,-49.6,0.72,28.0,72.0,28.0,0.0,331.92,4.0,50.53,0.88,0.08
35,34.47,0.77,23.0,77.0,23.0,0.0,500.82,2.0,45.23,0.88,0.07
36,-61.33,0.8,20.0,80.0,20.0,0.0,362.04,2.0,55.84,0.88,0.07
37,0.0,0.0,100.0,0.0,100.0,0.0,416.18,16.0,37.24,0.88,0.09
38,-61.33,0.8,20.0,80.0,20.0,0.0,395.17,2.0,46.8,0.88,0.11
39,-9.53,0.41,59.0,41.0,59.0,0.0,260.19,8.0,51.8,0.88,0.09
40,-16.8,0.88,12.0,88.0,12.0,0.0,425.79,2.0,56.0,0.88,0.06
41,-23.33,0.5,50.0,50.0,50.0,0.0,444.47,8.0,48.78,0.88,0.08
42,0.0,0.0,100.0,0.0,100.0,0.0,436.94,16.0,38.77,0.88,0.11
43,2.0,0.86,14.0,86.0,14.0,0.0,271.83,1.0,51.99,0.88,0.07
44,-67.13,0.83,17.0,83.0,17.0,0.0,341.34,2.0,52.37,0.88,0.07
45,0.0,0.0,100.0,0.0,100.0,0.0,277.58,16.0,43.88,0.88,0.09
46,-65.2,0.82,18.0,82.0,18.0,0.0,453.9,2.0,52.36,0.88,0.07
