episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,-57.87,0.72,28.0,72.0,28.0,0.0,404.93,8.43,25.33,0.35,0.09
2,-25.0,0.41,59.0,41.0,59.0,0.0,393.62,11.93,34.74,0.27,0.1
3,22.73,0.79,21.0,79.0,21.0,0.0,348.54,4.76,37.56,0.48,0.1
4,-19.87,0.36,64.0,36.0,64.0,0.0,431.45,12.22,43.89,0.46,0.09
5,-63.8,0.78,22.0,78.0,22.0,0.0,482.69,6.32,29.79,0.51,0.08
6,-80.53,0.86,14.0,86.0,14.0,0.0,439.74,10.14,31.53,0.53,0.06
7,-45.6,0.62,38.0,62.0,38.0,0.0,393.61,9.53,40.18,0.4,0.08
8,-26.47,0.52,48.0,52.0,48.0,0.0,421.7,8.02,51.16,0.2,0.08
9,-41.33,0.62,38.0,62.0,38.0,0.0,473.02,7.84,44.49,0.49,0.08
10,-55.93,0.75,25.0,75.0,25.0,0.0,386.59,4.56,50.15,0.21,0.09
11,-28.07,0.51,49.0,51.0,49.0,0.0,383.28,8.98,36.96,0.39,0.14
12,66.47,0.83,17.0,83.0,17.0,0.0,374.59,2.35,55.36,0.31,0.08
13,-18.4,0.32,68.0,32.0,68.0,0.0,396.36,13.0,41.88,0.55,0.1
14,-10.33,0.25,75.0,25.0,75.0,0.0,366.14,13.07,40.3,0.47,0.11
15,-28.53,0.41,59.0,41.0,59.0,0.0,394.04,12.83,38.35,0.66,0.14
16,18.93,0.77,23.0,77.0,23.0,0.0,393.19,3.0,35.01,0.36,0.11
17,-69.67,0.77,23.0,77.0,23.0,0.0,390.94,11.22,27.56,0.4,0.08
18,-56.53,0.73,27.0,73.0,27.0,0.0,372.3,6.85,41.98,0.42,0.1
19,-17.8,0.34,66.0,34.0,66.0,0.0,423.15,12.32,39.01,0.45,0.14
20,-84.13,0.9,10.0,90.0,10.0,0.0,423.94,7.2,38.73,0.55,0.07
21,-73.73,0.86,14.0,86.0,14.0,0.0,444.61,2.86,44.9,0.42,0.1
22,-75.33,0.86,14.0,86.0,14.0,0.0,497.31,4.57,48.92,0.73,0.11
23,10.6,0.89,11.0,89.0,11.0,0.0,415.81,2.91,56.57,0.5,0.09
24,-69.6,0.83,17.0,83.0,17.0,0.0,430.65,4.18,57.77,0.42,0.13
25,-70.47,0.83,17.0,83.0,17.0,0.0,415.0,4.94,32.88,0.35,0.1
26,-52.87,0.69,31.0,69.0,31.0,0.0,405.0,8.19,46.08,0.55,0.11
27,-76.2,0.86,14.0,86.0,14.0,0.0,408.3,5.5,40.49,0.42,0.08
28,-28.6,0.38,62.0,38.0,62.0,0.0,366.31,13.73,40.59,0.64,0.11
29,-63.8,0.76,24.0,76.0,24.0,0.0,427.78,8.38,28.61,0.51,0.11
30,-85.93,0.87,13.0,87.0,13.0,0.0,482.44,14.77,16.52,0.73,0.1
31,-80.2,0.88,12.0,88.0,12.0,0.0,366.29,6.25,46.7,0.49,0.09
32,-76.33,0.85,15.0,85.0,15.0,0.0,454.17,7.33,42.06,0.45,0.08
33,-23.4,0.33,67.0,33.0,67.0,0.0,360.53,13.85,38.69,0.57,0.14
34,-77.73,0.86,14.0,86.0,14.0,0.0,385.06,7.14,40.49,0.27,0.09
35,-63.0,0.76,24.0,76.0,24.0,0.0,466.26,7.88,30.64,0.51,0.09
36,-20.47,0.32,68.0,32.0,68.0,0.0,409.22,13.46,40.04,0.62,0.12
37,37.33,0.76,24.0,76.0,24.0,0.0,438.99,3.92,42.24,0.4,0.1
38,-34.0,0.46,54.0,46.0,54.0,0.0,342.65,12.67,39.14,0.46,0.14
39,-76.73,0.88,12.0,88.0,12.0,0.0,464.66,1.92,69.39,0.58,0.1
40,-43.6,0.58,42.0,58.0,42.0,0.0,449.0,10.86,35.97,0.45,0.11
41,-64.0,0.78,22.0,78.0,22.0,0.0,481.98,6.45,28.34,0.34,0.1
42,64.07,0.51,49.0,51.0,49.0,0.0,417.46,7.1,55.2,0.51,0.11
43,-15.67,0.2,80.0,20.0,80.0,0.0,399.14,15.19,38.62,0.53,0.12
44,-70.67,0.81,19.0,81.0,19.0,0.0,416.58,7.84,33.77,0.33,0.1
45,-63.6,0.78,22.0,78.0,22.0,0.0,473.34,6.18,39.59,0.43,0.1
46,-82.4,0.86,14.0,86.0,14.0,0.0,441.73,12.14,27.41,0.62,0.08
47,63.33,0.91,9.0,91.0,9.0,0.0,400.44,2.11,58.08,0.4,0.1
48,-78.07,0.87,13.0,87.0,13.0,0.0,465.43,5.69,44.25,0.77,0.06
49,-67.0,0.81,19.0,81.0,19.0,0.0,493.29,4.95,28.97,0.64,0.07
50,-44.67,0.63,37.0,63.0,37.0,0.0,416.37,8.57,41.81,0.54,0.08
51,-74.47,0.82,18.0,82.0,18.0,0.0,393.32,9.72,32.14,0.37,0.07
52,-55.4,0.71,29.0,71.0,29.0,0.0,487.39,7.93,36.32,0.46,0.08
53,-60.2,0.76,24.0,76.0,24.0,0.0,416.21,6.12,40.68,0.42,0.13
54,53.27,0.64,36.0,64.0,36.0,0.0,394.5,7.14,50.05,0.55,0.12
55,-47.4,0.69,31.0,69.0,31.0,0.0,431.3,5.55,37.64,0.43,0.1
56,-84.4,0.91,9.0,91.0,9.0,0.0,462.26,5.0,40.31,0.54,0.08
57,-83.8,0.91,9.0,91.0,9.0,0.0,387.5,4.0,41.94,0.59,0.08
58,-55.13,0.69,31.0,69.0,31.0,0.0,449.09,9.29,35.51,0.53,0.09
59,-31.47,0.49,51.0,49.0,51.0,0.0,429.97,10.84,33.97,0.42,0.08
60,-76.13,0.86,14.0,86.0,14.0,0.0,470.14,5.43,39.59,0.63,0.08
61,-80.87,0.88,12.0,88.0,12.0,0.0,426.42,7.08,32.05,0.54,0.07
62,-50.4,0.72,28.0,72.0,28.0,0.0,460.16,4.43,43.0,0.4,0.09
63,-70.47,0.82,18.0,82.0,18.0,0.0,413.17,6.39,29.82,0.45,0.06
64,23.33,0.81,19.0,81.0,19.0,0.0,453.72,3.11,44.13,0.51,0.07
65,-73.07,0.84,16.0,84.0,16.0,0.0,401.64,5.75,36.34,0.37,0.06
66,12.33,0.79,21.0,79.0,21.0,0.0,432.35,3.62,46.44,0.25,0.08
67,-42.8,0.66,34.0,66.0,34.0,0.0,400.84,5.76,50.93,0.48,0.08
68,-16.47,0.39,61.0,39.0,61.0,0.0,323.66,10.46,44.61,0.38,0.09
69,-64.2,0.78,22.0,78.0,22.0,0.0,380.68,6.59,46.23,0.5,0.09
70,-42.47,0.58,42.0,58.0,42.0,0.0,429.89,10.45,42.73,0.53,0.11
71,-55.33,0.73,27.0,73.0,27.0,0.0,414.6,6.19,38.46,0.26,0.13
72,-89.67,0.92,8.0,92.0,8.0,0.0,350.01,11.62,25.09,0.58,0.14
73,-77.33,0.86,14.0,86.0,14.0,0.0,460.73,6.71,40.19,0.56,0.09
74,-17.87,0.32,68.0,32.0,68.0,0.0,345.37,12.88,46.14,0.6,0.12
75,21.33,0.78,22.0,78.0,22.0,0.0,441.56,4.18,36.55,0.43,0.14
76,-58.67,0.72,28.0,72.0,28.0,0.0,414.86,8.86,27.7,0.43,0.09
77,-19.6,0.4,60.0,40.0,60.0,0.0,389.16,10.9,45.8,0.59,0.11
78,-30.33,0.41,59.0,41.0,59.0,0.0,419.79,13.29,43.78,0.55,0.11
79,-64.93,0.79,21.0,79.0,21.0,0.0,434.7,5.95,35.25,0.3,0.09
80,-74.4,0.83,17.0,83.0,17.0,0.0,439.98,8.41,34.78,0.55,0.1
81,-51.6,0.68,32.0,68.0,32.0,0.0,410.24,8.31,23.72,0.4,0.13
82,-60.2,0.75,25.0,75.0,25.0,0.0,471.69,7.12,34.83,0.39,0.13
83,17.87,0.82,18.0,82.0,18.0,0.0,455.05,4.44,50.08,0.21,0.15
84,-59.93,0.77,23.0,77.0,23.0,0.0,439.22,4.87,45.63,0.46,0.11
85,-16.53,0.4,60.0,40.0,60.0,0.0,409.58,10.13,41.74,0.55,0.11
86,-76.87,0.85,15.0,85.0,15.0,0.0,463.76,7.87,27.8,0.55,0.09
87,-41.2,0.64,36.0,64.0,36.0,0.0,420.1,6.5,49.81,0.47,0.12
88,-50.8,0.66,34.0,66.0,34.0,0.0,454.1,9.29,24.06,0.4,0.1
89,-76.87,0.85,15.0,85.0,15.0,0.0,391.99,7.87,35.46,0.53,0.09
90,-80.27,0.87,13.0,87.0,13.0,0.0,360.16,8.23,36.39,0.4,0.13
91,29.33,0.72,28.0,72.0,28.0,0.0,436.6,4.57,43.96,0.56,0.12
92,-65.53,0.78,22.0,78.0,22.0,0.0,398.3,7.5,41.96,0.38,0.13
93,22.07,0.84,16.0,84.0,16.0,0.0,455.27,4.69,38.85,0.54,0.07
94,-31.07,0.52,48.0,52.0,48.0,0.0,407.71,9.46,43.25,0.25,0.08
95,-57.93,0.75,25.0,75.0,25.0,0.0,396.43,5.76,47.61,0.29,0.08
96,-72.07,0.84,16.0,84.0,16.0,0.0,441.41,4.81,44.04,0.48,0.07
97,-70.8,0.82,18.0,82.0,18.0,0.0,378.4,6.67,33.93,0.31,0.07
98,-38.0,0.56,44.0,56.0,44.0,0.0,400.35,9.86,40.1,0.4,0.09
99,-63.47,0.73,27.0,73.0,27.0,0.0,487.45,10.7,35.23,0.56,0.08
100,-72.33,0.81,19.0,81.0,19.0,0.0,489.01,9.16,23.66,0.3,0.07
