episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,40.8,0.0,100.0,0.0,65.0,35.0,234.67,9.88,35.64,0.46,0.56
2,48.62,0.0,100.0,0.0,39.0,61.0,203.99,8.71,26.61,0.31,0.65
3,78.69,0.04,96.0,4.0,17.0,79.0,152.73,4.02,16.81,0.35,0.81
4,49.54,0.0,100.0,0.0,63.0,37.0,248.95,8.57,38.47,0.44,0.32
5,49.12,0.0,100.0,0.0,73.0,27.0,319.59,8.63,45.53,0.25,0.28
6,50.81,0.0,100.0,0.0,43.0,57.0,217.42,8.38,31.05,0.4,0.49
7,30.86,0.0,100.0,0.0,62.0,38.0,342.22,11.37,39.95,0.26,0.55
8,47.7,0.0,100.0,0.0,36.0,64.0,182.38,8.84,23.25,0.34,1.02
9,32.98,0.0,100.0,0.0,14.0,86.0,97.04,11.05,12.5,0.29,0.87
10,51.65,0.0,100.0,0.0,30.0,70.0,121.52,8.25,22.06,0.36,0.66
11,49.45,0.0,100.0,0.0,44.0,56.0,138.27,8.58,28.04,0.26,0.6
12,57.41,0.0,100.0,0.0,83.0,17.0,460.53,7.39,50.82,0.37,0.5
13,52.25,0.0,100.0,0.0,65.0,35.0,264.03,8.16,40.44,0.26,0.5
14,58.72,0.0,100.0,0.0,46.0,54.0,191.28,7.19,30.47,0.33,0.64
15,45.96,0.03,97.0,3.0,64.0,33.0,284.64,8.43,39.87,0.33,0.5
16,57.76,0.0,100.0,0.0,9.0,91.0,89.06,7.34,9.55,0.39,0.73
17,27.99,0.13,87.0,13.0,24.0,63.0,178.8,8.93,19.53,0.34,0.67
18,58.54,0.0,100.0,0.0,25.0,75.0,175.78,7.22,17.7,0.37,0.89
19,53.09,0.0,100.0,0.0,26.0,74.0,135.59,8.04,22.74,0.35,0.7
20,47.86,0.04,96.0,4.0,48.0,48.0,202.27,7.9,32.88,0.42,0.57
21,25.43,0.03,97.0,3.0,37.0,60.0,179.09,11.6,24.87,0.27,0.68
22,42.44,0.0,100.0,0.0,57.0,43.0,264.71,9.63,32.88,0.3,0.59
23,36.68,0.0,100.0,0.0,28.0,72.0,176.59,10.5,19.08,0.29,0.76
24,50.15,0.0,100.0,0.0,38.0,62.0,180.63,8.48,23.65,0.23,0.68
25,64.14,0.04,96.0,4.0,24.0,72.0,137.28,6.6,21.89,0.45,0.77
26,63.81,0.0,100.0,0.0,36.0,64.0,143.07,6.43,23.59,0.42,0.59
27,44.53,0.0,100.0,0.0,8.0,92.0,76.25,9.32,10.91,0.4,0.71
28,38.0,0.0,100.0,0.0,50.0,50.0,231.71,10.3,33.52,0.35,0.69
29,47.7,0.0,100.0,0.0,37.0,63.0,174.72,8.85,28.42,0.46,0.82
30,52.38,0.0,100.0,0.0,49.0,51.0,247.79,8.14,28.86,0.27,0.73
31,47.2,0.06,94.0,6.0,56.0,38.0,280.06,7.51,35.68,0.3,0.62
32,75.96,0.01,99.0,1.0,27.0,72.0,124.54,4.64,20.68,0.36,0.82
33,56.01,0.0,100.0,0.0,48.0,52.0,215.19,7.6,28.63,0.23,0.61
34,39.5,0.0,100.0,0.0,33.0,67.0,146.93,10.08,25.36,0.45,0.71
35,36.2,0.06,94.0,6.0,48.0,46.0,220.85,9.27,33.11,0.29,0.99
36,53.24,0.0,100.0,0.0,88.0,12.0,441.92,8.01,52.65,0.19,0.4
37,65.33,0.0,100.0,0.0,25.0,75.0,169.01,6.2,18.26,0.4,0.98
38,49.87,0.0,100.0,0.0,36.0,64.0,140.21,8.52,21.3,0.32,0.96
39,42.35,0.0,100.0,0.0,75.0,25.0,349.74,9.65,46.35,0.23,0.53
40,47.02,0.0,100.0,0.0,31.0,69.0,151.48,8.95,21.64,0.28,0.76
41,40.68,0.0,100.0,0.0,57.0,43.0,251.18,9.9,33.36,0.28,0.57
42,52.48,0.0,100.0,0.0,30.0,70.0,143.64,8.13,22.27,0.36,0.68
43,41.3,0.0,100.0,0.0,86.0,14.0,420.03,9.81,49.01,0.25,0.51
44,49.99,0.01,99.0,1.0,76.0,23.0,453.3,8.27,45.66,0.51,0.42
45,29.07,0.03,97.0,3.0,27.0,70.0,127.71,11.04,19.69,0.35,0.53
46,33.41,0.0,100.0,0.0,22.0,78.0,146.99,10.99,15.15,0.34,0.71
47,46.01,0.0,100.0,0.0,39.0,61.0,210.77,9.1,24.03,0.36,0.74
48,33.73,0.0,100.0,0.0,39.0,61.0,199.16,10.94,22.85,0.24,0.74
49,50.66,0.06,94.0,6.0,21.0,73.0,137.9,6.96,20.43,0.34,0.8
50,62.72,0.01,99.0,1.0,9.0,90.0,85.26,6.65,13.02,0.45,0.77
51,44.69,0.0,100.0,0.0,64.0,36.0,284.25,9.3,39.58,0.21,0.53
52,65.53,0.03,97.0,3.0,25.0,72.0,172.65,6.33,20.04,0.34,0.73
53,39.55,0.0,100.0,0.0,53.0,47.0,254.37,10.07,33.49,0.26,0.5
54,35.8,0.04,96.0,4.0,67.0,29.0,326.48,9.78,41.89,0.29,0.41
55,48.04,0.0,100.0,0.0,21.0,79.0,132.46,8.79,16.21,0.41,0.69
56,35.31,0.0,100.0,0.0,42.0,58.0,200.87,10.7,27.27,0.25,0.62
57,57.0,0.0,100.0,0.0,29.0,71.0,121.57,7.45,23.33,0.32,0.74
58,45.92,0.03,97.0,3.0,52.0,45.0,271.11,8.44,35.04,0.36,0.61
59,45.01,0.0,100.0,0.0,17.0,83.0,121.05,9.25,15.87,0.34,0.78
60,45.99,0.05,95.0,5.0,44.0,51.0,182.01,7.95,31.06,0.3,0.52
61,47.6,0.0,100.0,0.0,43.0,57.0,198.83,8.86,28.1,0.36,0.49
62,52.89,0.0,100.0,0.0,38.0,62.0,164.44,8.07,28.28,0.34,0.48
63,51.19,0.0,100.0,0.0,38.0,62.0,160.43,8.32,25.05,0.24,0.48
64,51.57,0.0,100.0,0.0,38.0,62.0,177.83,8.26,27.82,0.3,0.54
65,42.79,0.0,100.0,0.0,55.0,45.0,207.8,9.58,35.66,0.32,0.47
66,55.39,0.0,100.0,0.0,31.0,69.0,169.07,7.69,25.19,0.34,0.55
67,53.91,0.0,100.0,0.0,46.0,54.0,183.66,7.91,30.56,0.25,0.5
68,50.69,0.0,100.0,0.0,65.0,35.0,286.21,8.4,43.34,0.23,0.46
69,55.31,0.0,100.0,0.0,54.0,46.0,292.84,7.7,34.43,0.44,0.53
70,50.07,0.0,100.0,0.0,65.0,35.0,293.94,8.49,43.71,0.43,0.55
71,52.67,0.0,100.0,0.0,50.0,50.0,269.77,8.1,35.91,0.37,0.57
72,40.29,0.0,100.0,0.0,43.0,57.0,262.15,9.96,22.71,0.18,0.61
73,22.33,0.0,100.0,0.0,32.0,68.0,206.75,12.65,20.41,0.37,0.63
74,34.42,0.0,100.0,0.0,25.0,75.0,150.82,10.84,17.48,0.32,0.73
75,43.69,0.0,100.0,0.0,70.0,30.0,336.94,9.45,42.38,0.25,0.43
76,50.01,0.0,100.0,0.0,70.0,30.0,287.06,8.5,44.12,0.4,0.45
77,49.0,0.0,100.0,0.0,84.0,16.0,389.65,8.65,47.72,0.35,0.35
78,53.06,0.0,100.0,0.0,56.0,44.0,237.15,8.04,33.97,0.3,0.56
79,46.02,0.0,100.0,0.0,76.0,24.0,348.46,9.1,45.71,0.25,0.46
80,35.74,0.0,100.0,0.0,52.0,48.0,272.41,10.64,28.29,0.43,0.46
81,75.82,0.0,100.0,0.0,27.0,73.0,125.23,4.63,22.07,0.37,0.58
82,39.73,0.0,100.0,0.0,100.0,0.0,571.56,10.04,63.96,0.55,0.26
83,26.57,0.06,94.0,6.0,34.0,60.0,205.13,10.8,25.73,0.34,0.64
