episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,32.52,0.0,100.0,0.0,55.0,45.0,110.32,15.07,19.61,0.74,0.75
2,40.43,0.0,100.0,0.0,67.0,33.0,105.46,14.12,25.1,0.72,0.75
3,54.55,0.03,97.0,3.0,27.0,70.0,144.46,4.78,23.8,0.44,1.02
4,32.73,0.0,100.0,0.0,67.0,33.0,109.04,14.21,25.17,0.75,0.81
5,40.64,0.0,100.0,0.0,26.0,74.0,196.89,15.11,10.88,0.59,1.0
6,41.13,0.0,100.0,0.0,79.0,21.0,159.3,13.71,32.72,0.69,0.73
7,29.14,0.0,100.0,0.0,37.0,63.0,160.46,15.7,17.19,0.7,0.98
8,37.73,0.0,100.0,0.0,82.0,18.0,185.8,14.75,31.54,0.69,0.64
9,43.42,0.0,100.0,0.0,70.0,30.0,89.57,14.65,30.6,0.71,0.67
10,39.1,0.0,100.0,0.0,76.0,24.0,175.5,14.23,28.39,0.74,0.74
11,43.64,0.0,100.0,0.0,65.0,35.0,129.2,14.41,20.15,0.65,0.85
12,44.3,0.0,100.0,0.0,65.0,35.0,283.25,10.77,33.27,0.57,0.76
13,43.8,0.0,100.0,0.0,43.0,57.0,156.44,12.92,20.53,0.58,0.85
14,51.1,0.0,100.0,0.0,65.0,35.0,126.92,13.37,26.04,0.67,0.73
15,42.66,0.05,95.0,5.0,49.0,46.0,131.38,13.14,20.68,0.58,0.92
16,42.76,0.0,100.0,0.0,46.0,54.0,147.67,10.75,23.44,0.57,0.83
17,25.37,0.11,89.0,11.0,37.0,52.0,176.24,12.84,16.62,0.6,0.85
18,37.99,0.0,100.0,0.0,69.0,31.0,156.76,13.41,28.81,0.71,0.93
19,39.62,0.0,100.0,0.0,67.0,33.0,181.42,12.94,30.04,0.66,0.97
20,33.94,0.03,97.0,3.0,63.0,34.0,136.07,13.45,29.19,0.73,1.03
21,50.62,0.01,99.0,1.0,71.0,28.0,183.13,15.65,29.19,0.5,0.91
22,48.07,0.0,100.0,0.0,77.0,23.0,144.98,15.32,30.19,0.65,0.87
23,48.44,0.0,100.0,0.0,73.0,27.0,148.54,14.25,29.5,0.65,0.95
24,46.69,0.0,100.0,0.0,39.0,61.0,168.69,13.15,17.92,0.55,1.28
25,51.73,0.04,96.0,4.0,14.0,82.0,101.1,6.97,15.22,0.51,1.11
26,38.66,0.0,100.0,0.0,41.0,59.0,78.37,7.4,21.44,0.65,0.94
27,40.68,0.0,100.0,0.0,70.0,30.0,173.64,12.11,34.77,0.65,0.75
28,57.91,0.0,100.0,0.0,31.0,69.0,141.93,12.08,19.96,0.41,1.12
29,32.12,0.0,100.0,0.0,63.0,37.0,131.24,14.07,25.12,0.76,0.85
30,39.97,0.0,100.0,0.0,65.0,35.0,146.15,13.93,24.83,0.69,0.81
31,29.97,0.02,98.0,2.0,67.0,31.0,154.59,13.07,28.09,0.67,0.66
32,53.57,0.01,99.0,1.0,34.0,65.0,97.49,5.56,21.42,0.52,1.13
33,41.92,0.0,100.0,0.0,73.0,27.0,168.59,14.3,24.42,0.68,0.97
34,38.04,0.0,100.0,0.0,45.0,55.0,137.39,12.73,21.55,0.61,1.07
35,42.33,0.05,95.0,5.0,36.0,59.0,151.69,13.94,15.33,0.56,1.13
36,43.66,0.0,100.0,0.0,62.0,38.0,181.58,12.86,24.11,0.55,0.99
37,53.39,0.0,100.0,0.0,22.0,78.0,145.48,6.75,18.3,0.45,1.46
38,33.06,0.0,100.0,0.0,81.0,19.0,159.92,14.59,29.52,0.76,0.84
39,39.9,0.0,100.0,0.0,82.0,18.0,178.79,15.08,34.21,0.65,0.75
40,45.97,0.0,100.0,0.0,80.0,20.0,128.94,14.56,30.78,0.66,0.87
41,43.74,0.0,100.0,0.0,46.0,54.0,167.46,15.19,17.28,0.62,1.19
42,50.57,0.0,100.0,0.0,33.0,67.0,123.76,10.15,19.83,0.47,1.34
43,56.23,0.0,100.0,0.0,50.0,50.0,164.22,13.61,20.41,0.38,1.2
44,38.12,0.03,97.0,3.0,55.0,42.0,163.45,13.18,25.36,0.7,1.06
45,43.19,0.0,100.0,0.0,77.0,23.0,183.35,14.98,30.72,0.59,0.96
46,44.09,0.0,100.0,0.0,77.0,23.0,201.4,14.53,30.85,0.64,0.94
47,47.01,0.0,100.0,0.0,77.0,23.0,135.37,14.19,33.68,0.69,0.92
48,40.78,0.0,100.0,0.0,74.0,26.0,127.81,15.11,31.0,0.71,0.93
49,36.19,0.01,99.0,1.0,81.0,18.0,158.74,13.62,33.81,0.74,0.89
50,58.51,0.02,98.0,2.0,3.0,95.0,76.42,6.74,8.34,0.45,1.22
51,41.49,0.0,100.0,0.0,76.0,24.0,118.44,15.1,28.84,0.73,0.68
52,53.51,0.03,97.0,3.0,24.0,73.0,107.68,6.99,15.04,0.5,0.98
53,48.11,0.0,100.0,0.0,71.0,29.0,205.69,14.84,28.51,0.61,0.71
54,39.18,0.02,98.0,2.0,57.0,41.0,136.29,14.71,22.64,0.67,0.87
55,38.19,0.0,100.0,0.0,74.0,26.0,132.75,14.36,32.05,0.75,0.7
56,42.53,0.0,100.0,0.0,79.0,21.0,152.84,15.14,31.34,0.7,0.62
57,40.37,0.0,100.0,0.0,80.0,20.0,114.02,14.15,29.26,0.74,0.6
58,36.3,0.02,98.0,2.0,55.0,43.0,197.05,12.54,25.9,0.65,0.86
59,34.93,0.0,100.0,0.0,76.0,24.0,128.15,14.56,30.48,0.75,0.63
60,33.21,0.0,100.0,0.0,77.0,23.0,179.29,13.74,31.11,0.72,0.85
61,37.78,0.0,100.0,0.0,76.0,24.0,187.39,13.81,32.77,0.7,0.86
62,42.87,0.0,100.0,0.0,78.0,22.0,117.41,14.23,30.62,0.73,0.85
63,43.31,0.0,100.0,0.0,66.0,34.0,167.43,13.84,25.77,0.61,0.99
64,43.26,0.0,100.0,0.0,60.0,40.0,113.43,13.22,25.26,0.68,0.95
65,37.82,0.0,100.0,0.0,61.0,39.0,122.56,14.91,22.49,0.73,1.01
66,41.66,0.0,100.0,0.0,75.0,25.0,163.86,13.13,32.33,0.68,0.96
67,41.65,0.0,100.0,0.0,68.0,32.0,120.36,14.41,27.6,0.69,1.15
68,33.15,0.0,100.0,0.0,35.0,65.0,173.15,14.45,17.81,0.66,1.3
69,31.39,0.01,99.0,1.0,76.0,23.0,177.93,13.78,31.18,0.74,0.75
70,36.59,0.0,100.0,0.0,49.0,51.0,112.93,13.65,21.73,0.71,0.89
71,43.15,0.0,100.0,0.0,72.0,28.0,203.13,13.46,32.12,0.72,0.65
72,45.97,0.0,100.0,0.0,56.0,44.0,242.75,14.93,26.91,0.55,0.8
73,41.2,0.0,100.0,0.0,64.0,36.0,201.03,14.28,29.73,0.56,0.93
74,35.08,0.0,100.0,0.0,77.0,23.0,152.03,15.0,30.11,0.71,0.92
75,43.06,0.0,100.0,0.0,75.0,25.0,176.39,15.09,28.4,0.6,0.88
76,39.65,0.0,100.0,0.0,68.0,32.0,170.12,14.56,25.63,0.65,0.95
77,39.68,0.0,100.0,0.0,57.0,43.0,189.42,14.07,22.46,0.64,1.05
78,40.42,0.0,100.0,0.0,31.0,69.0,174.47,11.85,18.62,0.62,1.32
79,34.92,0.0,100.0,0.0,33.0,67.0,197.54,14.44,14.62,0.64,1.2
80,38.08,0.0,100.0,0.0,57.0,43.0,135.97,15.26,20.88,0.68,1.03
