episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,69.0,0.0,100.0,0.0,95.0,5.0,310.73,15.95,37.72,0.84,0.54
2,72.47,0.0,100.0,0.0,86.0,14.0,275.99,11.33,47.36,0.64,0.65
3,84.49,0.03,97.0,3.0,47.0,50.0,160.76,4.82,34.37,0.4,0.97
4,78.53,0.0,100.0,0.0,73.0,27.0,215.44,11.53,34.7,0.6,0.62
5,65.29,0.0,100.0,0.0,99.0,1.0,347.76,13.22,47.26,0.73,0.59
6,66.7,0.0,100.0,0.0,93.0,7.0,333.69,12.95,46.9,0.73,0.89
7,69.18,0.0,100.0,0.0,99.0,1.0,308.88,16.0,40.24,0.83,0.79
8,67.91,0.0,100.0,0.0,85.0,15.0,321.62,14.78,38.92,0.7,0.74
9,73.98,0.0,100.0,0.0,86.0,14.0,260.95,13.65,46.49,0.56,0.65
10,70.25,0.0,100.0,0.0,78.0,22.0,298.22,11.47,43.32,0.64,0.74
11,69.39,0.0,100.0,0.0,86.0,14.0,306.81,12.84,37.17,0.58,0.71
12,57.38,0.0,100.0,0.0,94.0,6.0,426.77,8.82,53.11,0.65,0.58
13,75.61,0.0,100.0,0.0,81.0,19.0,244.67,13.6,35.48,0.69,0.96
14,70.02,0.0,100.0,0.0,81.0,19.0,300.48,10.87,49.27,0.65,0.99
15,74.42,0.0,100.0,0.0,88.0,12.0,256.5,13.71,42.45,0.69,0.81
16,67.08,0.0,100.0,0.0,89.0,11.0,329.9,14.3,35.6,0.76,0.82
17,74.99,0.0,100.0,0.0,76.0,24.0,250.85,14.18,32.9,0.75,0.91
18,66.79,0.0,100.0,0.0,88.0,12.0,332.81,12.26,42.6,0.74,0.74
19,63.3,0.0,100.0,0.0,93.0,7.0,367.58,15.2,38.03,0.81,0.68
20,67.53,0.0,100.0,0.0,90.0,10.0,325.41,12.03,47.71,0.71,0.64
21,67.81,0.0,100.0,0.0,84.0,16.0,322.59,15.7,37.12,0.56,0.71
22,69.94,0.0,100.0,0.0,86.0,14.0,301.3,14.91,36.87,0.66,0.8
23,73.71,0.0,100.0,0.0,74.0,26.0,263.68,14.87,34.74,0.65,0.98
24,59.43,0.0,100.0,0.0,99.0,1.0,406.33,12.11,49.59,0.79,0.43
25,85.7,0.04,96.0,4.0,53.0,43.0,149.76,7.17,32.01,0.56,0.99
26,87.75,0.0,100.0,0.0,54.0,46.0,123.38,6.5,33.08,0.43,0.89
27,68.86,0.0,100.0,0.0,82.0,18.0,312.11,12.19,48.75,0.7,0.74
28,65.93,0.0,100.0,0.0,90.0,10.0,341.32,14.8,39.38,0.74,0.69
29,71.82,0.0,100.0,0.0,91.0,9.0,282.51,11.09,53.0,0.67,0.61
30,74.37,0.0,100.0,0.0,70.0,30.0,257.08,10.9,35.56,0.45,0.66
31,64.53,0.02,98.0,2.0,90.0,8.0,321.78,14.5,34.9,0.79,0.68
32,87.8,0.01,99.0,1.0,59.0,40.0,124.08,5.36,34.6,0.47,0.86
33,64.73,0.0,100.0,0.0,90.0,10.0,353.37,15.4,31.54,0.77,0.63
34,66.26,0.0,100.0,0.0,90.0,10.0,338.11,11.21,53.33,0.61,0.71
35,67.92,0.0,100.0,0.0,89.0,11.0,321.47,15.43,38.35,0.79,0.47
36,60.66,0.0,100.0,0.0,86.0,14.0,393.99,14.02,39.37,0.65,0.74
37,84.58,0.0,100.0,0.0,59.0,41.0,155.05,6.84,33.04,0.51,1.04
38,70.49,0.0,100.0,0.0,80.0,20.0,295.83,12.77,40.75,0.69,0.94
39,67.15,0.0,100.0,0.0,88.0,12.0,329.22,14.11,43.44,0.68,0.78
40,67.39,0.0,100.0,0.0,88.0,12.0,326.81,12.22,44.94,0.63,0.83
41,66.09,0.0,100.0,0.0,83.0,17.0,339.75,14.42,37.35,0.6,0.9
42,67.18,0.0,100.0,0.0,87.0,13.0,328.87,12.12,49.46,0.69,0.69
43,67.39,0.0,100.0,0.0,91.0,9.0,326.75,15.78,39.03,0.7,0.32
44,63.7,0.0,100.0,0.0,91.0,9.0,363.61,11.69,48.12,0.73,0.32
45,68.24,0.0,100.0,0.0,85.0,15.0,318.32,13.17,43.92,0.58,0.36
