episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,19.81,0.0,100.0,0.0,9.0,91.0,220.77,13.03,8.9,0.49,19.38
2,38.25,0.04,96.0,4.0,2.0,94.0,171.42,10.65,7.45,0.51,21.0
3,42.35,0.06,94.0,6.0,6.0,88.0,212.06,9.88,8.94,0.52,18.96
4,54.57,0.12,88.0,12.0,6.0,82.0,206.49,8.74,7.89,0.51,19.34
5,41.57,0.07,93.0,7.0,4.0,89.0,207.55,10.42,9.13,0.49,18.4
6,60.7,0.08,92.0,8.0,3.0,89.0,175.57,7.08,10.55,0.45,21.81
7,34.05,0.06,94.0,6.0,4.0,90.0,194.0,11.52,6.83,0.49,17.62
8,22.13,0.02,98.0,2.0,8.0,90.0,239.14,12.92,8.24,0.47,18.33
9,39.75,0.02,98.0,2.0,4.0,94.0,185.17,10.22,9.2,0.48,23.39
10,35.85,0.05,95.0,5.0,11.0,84.0,197.88,11.13,11.84,0.43,18.2
11,37.09,0.08,92.0,8.0,4.0,88.0,202.08,11.26,8.85,0.48,19.7
12,24.19,0.06,94.0,6.0,10.0,84.0,213.85,13.1,10.07,0.51,16.46
13,49.69,0.03,97.0,3.0,6.0,91.0,157.12,8.78,11.54,0.48,11.58
14,27.34,0.06,94.0,6.0,7.0,87.0,207.63,12.59,7.34,0.5,10.08
15,39.72,0.06,94.0,6.0,7.0,87.0,233.58,10.62,10.06,0.52,18.75
16,53.48,0.03,97.0,3.0,3.0,94.0,161.37,8.19,10.17,0.47,19.64
17,34.14,0.04,96.0,4.0,12.0,84.0,242.05,11.29,10.99,0.45,18.75
18,41.78,0.05,95.0,5.0,9.0,86.0,228.2,10.19,12.87,0.47,17.67
19,34.02,0.03,97.0,3.0,8.0,89.0,253.61,11.2,9.42,0.5,18.67
20,38.52,0.06,94.0,6.0,5.0,89.0,199.62,10.81,9.79,0.53,22.32
21,19.63,0.0,100.0,0.0,9.0,91.0,226.86,13.06,9.63,0.46,19.55
22,45.99,0.05,95.0,5.0,8.0,87.0,201.63,9.53,10.66,0.51,17.23
23,30.32,0.03,97.0,3.0,11.0,86.0,233.72,11.78,11.35,0.5,17.67
24,25.99,0.03,97.0,3.0,9.0,88.0,250.81,12.44,9.12,0.48,17.27
25,54.48,0.1,90.0,10.0,7.0,83.0,175.32,8.59,10.81,0.49,16.12
26,36.51,0.03,97.0,3.0,16.0,81.0,253.91,10.82,14.7,0.5,16.53
27,39.98,0.07,93.0,7.0,10.0,83.0,209.93,10.68,12.21,0.52,15.87
28,52.05,0.15,85.0,15.0,1.0,84.0,175.12,9.46,7.45,0.47,16.87
29,28.05,0.0,100.0,0.0,14.0,86.0,230.32,11.79,11.73,0.44,18.0
30,39.48,0.05,95.0,5.0,6.0,89.0,174.66,10.56,8.17,0.47,20.89
31,45.91,0.06,94.0,6.0,3.0,91.0,209.78,9.63,8.03,0.45,21.25
32,46.05,0.07,93.0,7.0,6.0,87.0,238.61,9.7,8.62,0.55,18.98
33,51.13,0.09,91.0,9.0,11.0,80.0,232.7,9.06,12.64,0.52,19.26
34,42.68,0.08,92.0,8.0,9.0,83.0,233.44,10.35,11.82,0.51,18.86
35,28.8,0.03,97.0,3.0,16.0,81.0,280.82,12.01,13.79,0.46,15.8
36,39.71,0.05,95.0,5.0,3.0,92.0,207.1,10.52,8.81,0.53,17.76
37,35.44,0.0,100.0,0.0,11.0,89.0,242.96,10.68,11.45,0.48,17.37
38,39.42,0.04,96.0,4.0,12.0,84.0,244.87,10.47,10.07,0.51,18.65
39,41.34,0.04,96.0,4.0,5.0,91.0,200.06,10.17,8.33,0.49,19.19
40,49.95,0.02,98.0,2.0,4.0,94.0,204.25,8.66,8.95,0.48,17.21
41,22.84,0.02,98.0,2.0,9.0,89.0,253.42,12.81,8.82,0.48,20.52
42,38.81,0.04,96.0,4.0,4.0,92.0,241.82,10.56,7.44,0.47,20.51
43,32.06,0.04,96.0,4.0,9.0,87.0,240.45,11.62,8.56,0.51,19.85
44,40.95,0.07,93.0,7.0,7.0,86.0,240.88,10.52,10.53,0.44,19.32
45,38.6,0.04,96.0,4.0,5.0,91.0,233.08,10.59,8.08,0.48,21.7
46,37.42,0.05,95.0,5.0,8.0,87.0,213.52,10.88,10.2,0.52,16.94
47,33.91,0.01,99.0,1.0,6.0,93.0,195.42,11.01,9.79,0.5,18.91
48,31.07,0.04,96.0,4.0,12.0,84.0,240.55,11.77,10.03,0.47,15.31
49,44.45,0.05,95.0,5.0,2.0,93.0,192.42,9.77,7.86,0.49,16.08
50,35.21,0.06,94.0,6.0,2.0,92.0,204.85,11.34,6.92,0.52,19.61
51,36.24,0.06,94.0,6.0,12.0,82.0,262.4,11.17,9.63,0.51,16.66
52,27.47,0.02,98.0,2.0,11.0,87.0,272.87,12.1,11.7,0.48,14.15
53,47.59,0.11,89.0,11.0,1.0,88.0,203.21,9.83,5.58,0.56,19.38
54,28.65,0.03,97.0,3.0,7.0,90.0,269.49,12.03,9.26,0.52,13.97
55,30.17,0.04,96.0,4.0,6.0,90.0,234.86,11.91,8.45,0.5,9.54
56,33.81,0.05,95.0,5.0,6.0,89.0,226.01,11.45,9.49,0.55,9.24
57,34.46,0.01,99.0,1.0,6.0,93.0,275.7,10.93,8.84,0.55,17.17
58,30.34,0.03,97.0,3.0,16.0,81.0,272.77,11.77,11.35,0.49,15.82
59,50.51,0.01,99.0,1.0,3.0,96.0,187.64,8.5,9.5,0.44,24.8
60,32.43,0.05,95.0,5.0,8.0,87.0,212.18,11.67,9.65,0.48,20.74
61,49.37,0.06,94.0,6.0,13.0,81.0,234.8,9.08,12.57,0.5,18.58
62,37.31,0.07,93.0,7.0,13.0,80.0,233.32,11.11,14.03,0.51,18.7
63,39.59,0.11,89.0,11.0,8.0,81.0,209.91,11.18,9.63,0.5,19.01
64,38.96,0.08,92.0,8.0,10.0,82.0,238.5,10.95,12.21,0.54,17.18
65,37.39,0.08,92.0,8.0,14.0,78.0,221.22,11.21,14.75,0.51,16.71
66,35.81,0.04,96.0,4.0,5.0,91.0,210.98,11.03,7.93,0.47,17.03
67,39.07,0.05,95.0,5.0,5.0,90.0,201.38,10.62,9.17,0.51,19.33
68,41.05,0.06,94.0,6.0,5.0,89.0,201.58,10.41,8.13,0.47,20.97
69,20.11,0.01,99.0,1.0,7.0,92.0,245.87,13.11,9.63,0.46,20.23
70,24.96,0.02,98.0,2.0,8.0,90.0,229.0,12.49,8.85,0.5,20.39
71,42.76,0.05,95.0,5.0,9.0,86.0,251.23,10.04,10.58,0.53,19.86
72,41.36,0.05,95.0,5.0,2.0,93.0,127.71,9.94,8.41,0.45,18.94
73,51.23,0.06,94.0,6.0,3.0,91.0,183.26,7.83,8.19,0.47,21.29
74,36.5,0.04,96.0,4.0,12.0,84.0,285.99,10.92,12.52,0.54,18.48
75,29.76,0.06,94.0,6.0,11.0,83.0,297.04,12.21,11.61,0.54,17.69
76,29.59,0.07,93.0,7.0,4.0,89.0,207.85,12.36,8.63,0.49,20.07
77,35.68,0.04,96.0,4.0,7.0,89.0,182.41,11.05,9.37,0.51,17.67
78,31.83,0.03,97.0,3.0,1.0,96.0,149.82,11.54,6.39,0.48,21.55
79,34.13,0.02,98.0,2.0,11.0,87.0,216.28,11.08,10.26,0.48,19.87
80,32.32,0.04,96.0,4.0,12.0,84.0,255.18,11.57,10.77,0.54,18.96
81,31.82,0.1,90.0,10.0,15.0,75.0,314.34,12.36,15.75,0.48,16.51
82,43.18,0.02,98.0,2.0,7.0,91.0,220.81,9.7,10.92,0.47,21.87
83,55.48,0.04,96.0,4.0,4.0,92.0,179.26,7.96,9.94,0.46,21.07
84,19.86,0.05,95.0,5.0,4.0,91.0,198.0,13.65,6.05,0.49,19.59
85,45.47,0.02,98.0,2.0,9.0,89.0,249.63,9.35,11.7,0.51,19.36
86,37.61,0.0,100.0,0.0,11.0,89.0,216.78,10.36,11.34,0.48,20.01
87,46.28,0.03,97.0,3.0,4.0,93.0,176.74,9.31,8.84,0.47,23.04
88,41.97,0.04,96.0,4.0,2.0,94.0,168.15,9.44,7.8,0.46,20.86
89,35.13,0.04,96.0,4.0,3.0,93.0,184.51,11.14,8.54,0.49,11.72
90,29.52,0.03,97.0,3.0,10.0,87.0,223.56,11.9,8.2,0.48,9.15
91,49.89,0.03,97.0,3.0,2.0,95.0,198.96,8.75,8.33,0.46,10.54
92,39.82,0.05,95.0,5.0,6.0,89.0,211.02,10.5,11.39,0.54,13.12
93,54.15,0.05,95.0,5.0,4.0,91.0,183.98,8.24,9.26,0.53,12.04
94,31.66,0.0,100.0,0.0,5.0,95.0,230.33,11.25,7.36,0.53,21.51
95,34.67,0.01,99.0,1.0,8.0,91.0,270.79,10.9,8.91,0.55,18.39
96,29.48,0.06,94.0,6.0,11.0,83.0,264.06,12.25,8.42,0.53,19.48
97,31.91,0.07,93.0,7.0,9.0,84.0,232.0,11.98,10.77,0.48,20.58
98,29.34,0.04,96.0,4.0,6.0,90.0,180.76,12.04,8.57,0.48,21.85
99,47.04,0.04,96.0,4.0,5.0,91.0,175.56,9.27,9.71,0.48,22.65
100,38.74,0.07,93.0,7.0,3.0,90.0,188.08,10.88,7.45,0.46,22.04
