episode,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
1,24.55,0.0,100.0,0.0,100.0,0.0,558.43,10.56,55.12,0.73,0.24
2,35.64,0.0,100.0,0.0,100.0,0.0,524.64,9.33,59.74,0.63,0.24
3,53.92,0.03,97.0,3.0,55.0,42.0,179.47,4.98,37.52,0.47,0.51
4,21.29,0.0,100.0,0.0,100.0,0.0,602.21,12.28,46.78,0.8,0.24
5,29.4,0.0,100.0,0.0,100.0,0.0,568.18,9.64,59.68,0.7,0.22
6,32.11,0.0,100.0,0.0,100.0,0.0,584.26,10.54,59.73,0.67,0.24
7,38.72,0.0,100.0,0.0,100.0,0.0,661.53,10.48,61.61,0.58,0.24
8,12.5,0.0,100.0,0.0,100.0,0.0,622.31,16.0,38.51,0.88,0.23
9,15.41,0.0,100.0,0.0,100.0,0.0,532.22,13.63,53.41,0.83,0.23
10,15.33,0.0,100.0,0.0,100.0,0.0,595.01,13.42,44.9,0.82,0.25
11,33.23,0.0,100.0,0.0,100.0,0.0,512.68,9.64,57.32,0.67,0.35
12,29.83,0.0,100.0,0.0,100.0,0.0,592.44,10.22,52.2,0.72,0.29
13,33.95,0.0,100.0,0.0,100.0,0.0,638.44,9.85,55.74,0.67,0.27
14,27.63,0.0,100.0,0.0,100.0,0.0,587.12,9.82,60.09,0.71,0.26
15,27.07,0.0,100.0,0.0,100.0,0.0,672.53,9.93,57.92,0.7,0.24
16,12.5,0.0,100.0,0.0,100.0,0.0,649.54,16.0,39.27,0.88,0.28
17,17.71,0.0,100.0,0.0,100.0,0.0,523.44,13.21,45.09,0.82,0.27
18,24.25,0.0,100.0,0.0,100.0,0.0,577.31,12.3,47.66,0.75,0.25
19,19.51,0.0,100.0,0.0,100.0,0.0,538.77,12.16,55.14,0.81,0.25
20,18.7,0.0,100.0,0.0,100.0,0.0,562.45,13.06,48.0,0.82,0.3
21,27.45,0.0,100.0,0.0,100.0,0.0,711.67,16.0,41.38,0.71,0.24
22,17.03,0.0,100.0,0.0,100.0,0.0,604.15,15.92,37.58,0.84,0.22
23,19.34,0.0,100.0,0.0,100.0,0.0,662.4,12.88,49.61,0.82,0.26
24,31.61,0.0,100.0,0.0,100.0,0.0,613.26,9.62,57.76,0.67,0.3
