r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
12.909206,100,2.203613,-1.0,7.0,12.91,0.37,63.0,37.0,0.0,20.0,20.0,23.0,298.68,4.12,10.31,0.41,0.0
-5.6107945,100,5.402482,-1.0,7.0,-5.61,0.31,69.0,31.0,5.0,29.0,14.0,21.0,335.97,10.48,7.63,0.41,1.11
-4.410793,100,8.464953,0.27,4.0,-4.41,0.31,69.0,31.0,0.0,29.0,20.0,20.0,372.68,10.22,9.49,0.42,1.13
25.07046,100,12.004565,0.8,3.0,25.07,0.23,77.0,23.0,33.0,13.0,17.0,14.0,416.7,6.64,20.85,0.15,1.1
16.87778,100,15.205776,0.18,5.0,16.88,0.22,78.0,22.0,23.0,21.0,17.0,17.0,527.48,8.52,10.66,0.24,1.11
29.802372,100,18.236195,-1.0,0.0,29.8,0.26,74.0,26.0,64.0,4.0,5.0,1.0,371.91,4.69,21.22,0.19,1.16
49.352383,100,21.749545,0.93,0.0,49.35,0.16,84.0,16.0,63.0,6.0,5.0,10.0,471.21,4.33,25.58,0.12,1.01
49.521885,100,24.531271,1.0,5.0,49.52,0.21,79.0,21.0,60.0,6.0,8.0,5.0,456.76,2.61,26.78,0.22,0.97
27.05142,100,27.960689,0.8,0.0,27.05,0.17,83.0,17.0,42.0,18.0,14.0,9.0,413.37,8.04,17.86,0.24,1.08
78.413345,100,30.739953,0.8,2.0,78.41,0.01,99.0,1.0,98.0,0.0,1.0,0.0,409.59,3.97,29.01,0.23,1.11
35.35998,100,33.631799,0.8,3.0,35.36,0.19,81.0,19.0,80.0,0.0,1.0,0.0,401.82,5.93,28.55,0.11,0.9
80.0667,100,36.552096,0.93,3.0,80.07,0.05,95.0,5.0,95.0,0.0,0.0,0.0,398.18,2.57,38.36,0.05,0.93
30.726664,100,39.389631,0.8,1.0,30.73,0.23,77.0,23.0,44.0,10.0,15.0,8.0,463.04,5.53,19.07,0.24,0.91
50.59555,100,42.546777,0.53,3.0,50.6,0.1,90.0,10.0,84.0,1.0,3.0,2.0,286.12,5.9,18.07,0.33,0.95
59.716656,100,45.647632,1.0,2.0,59.72,0.14,86.0,14.0,81.0,3.0,2.0,0.0,274.04,3.14,28.27,0.08,1.02
68.27046,100,48.542933,0.53,1.0,68.27,0.04,96.0,4.0,94.0,1.0,1.0,0.0,414.66,4.71,29.53,0.14,1.06
57.266663,100,50.946251,0.93,0.0,57.27,0.13,87.0,13.0,86.0,0.0,1.0,0.0,405.66,3.89,26.26,0.15,0.91
45.26667,100,53.798318,0.53,2.0,45.27,0.13,87.0,13.0,87.0,0.0,0.0,0.0,329.07,5.95,22.4,0.31,0.92
61.999958,100,56.812414,0.8,3.0,62.0,0.02,98.0,2.0,97.0,0.0,0.0,1.0,392.93,6.2,27.7,0.37,1.07
54.238567,100,59.291353,0.93,3.0,54.24,0.14,86.0,14.0,80.0,2.0,1.0,3.0,376.44,4.1,30.75,0.14,1.13
11.466674,100,62.440017,-1.0,7.0,11.47,0.12,88.0,12.0,60.0,12.0,6.0,10.0,441.06,12.0,10.62,0.41,0.97
55.076202,100,65.900973,-1.0,2.0,55.08,0.2,80.0,20.0,78.0,0.0,1.0,1.0,366.09,1.92,30.73,0.5,1.07
58.333347,100,68.840741,0.93,3.0,58.33,0.07,93.0,7.0,93.0,0.0,0.0,0.0,400.42,5.46,25.74,0.52,1.03
80.66669,100,71.541566,0.8,3.0,80.67,0.0,100.0,0.0,100.0,0.0,0.0,0.0,395.36,3.9,34.84,0.26,0.8
46.199986,100,74.811467,1.0,1.0,46.2,0.11,89.0,11.0,89.0,0.0,0.0,0.0,356.93,6.36,22.07,0.17,0.93
43.733315,100,77.95022,0.8,2.0,43.73,0.22,78.0,22.0,77.0,0.0,0.0,1.0,305.81,3.36,31.47,0.51,0.99
57.00001,100,81.402563,1.0,1.0,57.0,0.23,77.0,23.0,77.0,0.0,0.0,0.0,362.91,1.58,29.93,0.21,0.84
44.59999,100,84.270967,-1.0,3.0,44.6,0.2,80.0,20.0,80.0,0.0,0.0,0.0,306.89,3.89,21.28,0.27,1.05
72.59999,100,88.052211,0.8,2.0,72.6,0.01,99.0,1.0,99.0,0.0,0.0,0.0,363.07,4.85,38.35,0.43,0.94
61.799995,100,91.791112,1.0,1.0,61.8,0.11,89.0,11.0,89.0,0.0,0.0,0.0,490.13,3.73,24.88,0.32,1.07
80.000015,100,95.560675,0.8,0.0,80.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,350.83,4.0,35.36,0.57,1.08
