r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
-2.8471375,100,1.474279,-1.0,7.0,-2.85,0.37,63.0,37.0,0.0,20.0,20.0,23.0,298.68,4.12,10.31,0.41,0.0
16.950926,100,2.89704,-1.0,7.0,16.95,0.31,69.0,31.0,7.0,28.0,13.0,21.0,432.39,10.23,8.15,0.39,0.67
14.409646,100,4.731023,0.63,4.0,14.41,0.31,69.0,31.0,6.0,27.0,19.0,17.0,377.74,9.92,11.12,0.37,0.41
0.95527965,100,7.070524,0.59,4.0,0.96,0.35,65.0,35.0,0.0,18.0,22.0,25.0,488.14,8.52,11.2,0.41,0.82
32.595898,100,9.109271,0.76,5.0,32.6,0.24,76.0,24.0,12.0,25.0,19.0,20.0,519.05,9.07,8.17,0.24,0.73
21.006437,100,10.62893,0.81,6.0,21.01,0.33,67.0,33.0,19.0,19.0,15.0,14.0,334.05,6.69,14.31,0.19,0.54
41.001587,100,12.34155,0.8,0.0,41.0,0.23,77.0,23.0,49.0,9.0,8.0,11.0,389.45,4.55,23.31,0.2,0.68
40.342392,100,13.564471,0.92,5.0,40.34,0.24,76.0,24.0,57.0,3.0,8.0,8.0,315.93,2.52,26.13,0.08,0.39
30.54563,100,15.534249,0.64,1.0,30.55,0.22,78.0,22.0,24.0,24.0,18.0,12.0,378.49,9.25,13.6,0.36,0.42
54.718224,100,17.190992,0.8,6.0,54.72,0.1,90.0,10.0,77.0,2.0,9.0,2.0,422.21,3.93,28.11,0.2,0.74
42.930737,100,18.641796,0.72,3.0,42.93,0.13,87.0,13.0,85.0,1.0,1.0,0.0,424.57,4.78,33.78,0.28,0.48
79.27842,100,20.079063,0.95,3.0,79.28,0.05,95.0,5.0,95.0,0.0,0.0,0.0,435.03,2.51,38.6,0.05,0.64
15.597784,100,21.178821,0.74,3.0,15.6,0.28,72.0,28.0,61.0,5.0,4.0,2.0,516.58,3.42,24.23,0.26,0.35
53.197872,100,23.903383,0.74,2.0,53.2,0.11,89.0,11.0,89.0,0.0,0.0,0.0,331.31,3.03,22.27,0.26,0.35
39.25562,100,25.9953,0.55,2.0,39.26,0.11,89.0,11.0,89.0,0.0,0.0,0.0,548.73,2.87,26.61,0.45,0.78
46.94301,100,27.145181,0.61,1.0,46.94,0.05,95.0,5.0,95.0,0.0,0.0,0.0,522.09,3.75,30.2,0.39,0.41
41.439793,100,29.231423,0.7,3.0,41.44,0.16,84.0,16.0,84.0,0.0,0.0,0.0,465.58,4.27,23.32,0.3,0.34
8.916875,100,32.385314,0.49,2.0,8.92,0.27,73.0,27.0,73.0,0.0,0.0,0.0,444.94,3.68,22.33,0.51,0.72
39.65885,100,34.857701,0.42,3.0,39.66,0.0,100.0,0.0,100.0,0.0,0.0,0.0,518.86,5.92,28.19,0.58,1.06
16.25,100,36.594035,0.25,3.0,16.25,0.07,93.0,7.0,93.0,0.0,0.0,0.0,492.07,2.0,37.45,0.75,0.51
40.417156,100,38.334042,0.45,2.0,40.42,0.0,100.0,0.0,100.0,0.0,0.0,0.0,541.67,12.72,12.53,0.55,0.84
6.889162,100,40.326207,-1.0,2.0,6.89,0.22,78.0,22.0,78.0,0.0,0.0,0.0,476.41,1.19,31.86,0.64,0.73
44.238106,100,42.766454,0.46,2.0,44.24,0.01,99.0,1.0,99.0,0.0,0.0,0.0,489.21,11.47,14.97,0.54,0.59
24.21867,100,45.223051,0.29,0.0,24.22,0.02,98.0,2.0,98.0,0.0,0.0,0.0,657.14,3.84,32.81,0.71,0.76
26.05121,100,47.025388,0.39,1.0,26.05,0.11,89.0,11.0,89.0,0.0,0.0,0.0,567.31,5.64,21.22,0.61,0.78
31.89249,100,48.252989,0.39,2.0,31.89,0.05,95.0,5.0,95.0,0.0,0.0,0.0,333.81,5.04,34.32,0.61,0.46
27.25,100,49.972319,0.25,2.0,27.25,0.03,97.0,3.0,97.0,0.0,0.0,0.0,688.31,2.0,38.82,0.75,0.38
19.93037,100,52.197863,-1.0,3.0,19.93,0.24,76.0,24.0,76.0,0.0,0.0,0.0,526.57,3.67,20.8,0.46,0.34
25.0,100,54.361554,0.25,3.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,736.45,4.0,37.9,0.75,0.63
22.397219,100,56.95645,0.27,2.0,22.4,0.03,97.0,3.0,97.0,0.0,0.0,0.0,593.65,1.96,29.43,0.73,0.78
29.971643,100,59.17585,0.31,2.0,29.97,0.0,100.0,0.0,100.0,0.0,0.0,0.0,613.8,4.0,28.75,0.69,0.7
26.793362,100,61.152071,0.28,3.0,26.79,0.0,100.0,0.0,100.0,0.0,0.0,0.0,669.58,15.55,11.3,0.72,0.7
20.0,100,63.333193,0.25,0.0,20.0,0.04,96.0,4.0,96.0,0.0,0.0,0.0,625.47,2.0,36.5,0.75,0.57
25.352884,100,65.842026,0.58,0.0,25.35,0.2,80.0,20.0,80.0,0.0,0.0,0.0,459.14,4.59,23.45,0.42,0.74
25.89309,100,68.606729,0.26,1.0,25.89,0.03,97.0,3.0,97.0,0.0,0.0,0.0,651.11,3.94,31.28,0.74,0.74
8.520961,100,70.77978,0.42,0.0,8.52,0.22,78.0,22.0,78.0,0.0,0.0,0.0,536.13,3.24,21.29,0.58,0.65
28.817575,100,72.709948,0.51,0.0,28.82,0.15,85.0,15.0,85.0,0.0,0.0,0.0,605.19,2.66,32.55,0.49,0.71
23.96509,100,74.865605,0.42,2.0,23.97,0.05,95.0,5.0,95.0,0.0,0.0,0.0,434.05,11.49,15.42,0.58,0.65
44.698208,100,76.298591,0.49,0.0,44.7,0.01,99.0,1.0,99.0,0.0,0.0,0.0,496.97,6.24,25.59,0.51,0.78
47.578083,100,77.580953,0.48,3.0,47.58,0.0,100.0,0.0,100.0,0.0,0.0,0.0,713.07,10.4,19.07,0.52,0.4
26.974735,100,79.330941,0.26,3.0,26.97,0.02,98.0,2.0,98.0,0.0,0.0,0.0,679.86,4.01,40.13,0.74,0.46
45.147568,100,80.622879,0.49,3.0,45.15,0.01,99.0,1.0,99.0,0.0,0.0,0.0,588.04,9.21,19.37,0.51,0.38
9.24188,100,81.915297,-1.0,3.0,9.24,0.26,74.0,26.0,74.0,0.0,0.0,0.0,608.18,1.07,30.35,0.7,0.39
36.53427,100,83.277831,0.38,1.0,36.53,0.0,100.0,0.0,100.0,0.0,0.0,0.0,651.78,3.64,35.16,0.62,0.37
14.643936,100,84.833512,0.39,1.0,14.64,0.19,81.0,19.0,81.0,0.0,0.0,0.0,723.25,1.83,30.57,0.61,0.4
27.449953,100,86.164066,0.27,1.0,27.45,0.0,100.0,0.0,100.0,0.0,0.0,0.0,708.17,15.76,9.51,0.73,0.59
38.968925,100,87.444326,0.4,2.0,38.97,0.0,100.0,0.0,100.0,0.0,0.0,0.0,410.64,4.0,44.84,0.6,0.42
28.614052,100,89.697867,0.26,0.0,28.61,0.0,100.0,0.0,100.0,0.0,0.0,0.0,730.96,8.02,19.3,0.74,0.38
-21.25,100,91.9553,-1.0,3.0,-21.25,0.37,63.0,37.0,63.0,0.0,0.0,0.0,673.08,1.0,28.75,0.75,0.71
-11.25,100,93.530356,0.25,2.0,-11.25,0.29,71.0,29.0,71.0,0.0,0.0,0.0,729.42,1.0,24.84,0.75,0.68
27.602715,100,94.694936,0.26,1.0,27.6,0.0,100.0,0.0,100.0,0.0,0.0,0.0,749.1,8.08,15.42,0.74,0.42
39.560215,100,96.81709,0.41,2.0,39.56,0.0,100.0,0.0,100.0,0.0,0.0,0.0,526.06,6.52,29.34,0.59,0.36
27.128605,100,98.453796,0.56,2.0,27.13,0.19,81.0,19.0,81.0,0.0,0.0,0.0,527.01,4.52,24.65,0.44,0.88
-12.579191,100,101.141479,-1.0,0.0,-12.58,0.31,69.0,31.0,69.0,0.0,0.0,0.0,542.7,1.0,27.25,0.73,0.64
25.50814,100,104.346522,0.25,2.0,25.51,0.0,100.0,0.0,100.0,0.0,0.0,0.0,736.19,4.12,40.22,0.75,0.9
25.0,100,106.03269,0.25,3.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,557.91,4.0,41.31,0.75,1.01
26.962135,100,108.810889,0.27,2.0,26.96,0.0,100.0,0.0,100.0,0.0,0.0,0.0,525.54,8.0,19.36,0.73,0.77
25.0,100,111.560449,0.25,3.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,675.38,4.0,40.61,0.75,0.99
25.0,100,113.293195,0.25,1.0,25.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,594.42,4.0,31.61,0.75,0.89
26.730587,100,115.694811,0.26,0.0,26.73,0.01,99.0,1.0,99.0,0.0,0.0,0.0,734.11,15.85,9.03,0.74,0.73
29.549341,100,117.045991,0.28,2.0,29.55,0.0,100.0,0.0,100.0,0.0,0.0,0.0,493.67,7.94,18.06,0.72,0.81
