r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
7.2276373,100,1.202098,-1.0,7.0,7.23,0.37,63.0,37.0,0.0,20.0,20.0,23.0,298.68,4.12,10.31,0.41,0.0
15.956556,100,3.006394,-1.0,7.0,15.96,0.3,70.0,30.0,9.0,26.0,14.0,21.0,344.13,10.08,7.88,0.39,0.56
12.328152,100,4.771655,0.67,4.0,12.33,0.31,69.0,31.0,0.0,29.0,20.0,20.0,372.68,10.22,9.49,0.42,0.65
-1.6957654,100,6.541625,0.51,4.0,-1.7,0.35,65.0,35.0,0.0,18.0,22.0,25.0,488.14,8.52,11.2,0.41,0.65
7.9138875,100,8.783409,0.56,5.0,7.91,0.27,73.0,27.0,0.0,28.0,20.0,25.0,522.21,9.61,6.56,0.28,0.59
5.9353347,100,10.649982,0.68,6.0,5.94,0.38,62.0,38.0,0.0,22.0,20.0,20.0,292.07,8.02,9.08,0.35,0.8
12.034635,100,12.353163,0.85,4.0,12.03,0.34,66.0,34.0,0.0,21.0,23.0,22.0,303.2,8.2,9.5,0.39,0.69
22.984377,100,14.045615,0.84,5.0,22.98,0.3,70.0,30.0,19.0,14.0,15.0,22.0,243.84,1.66,16.74,0.26,0.63
1.6560342,100,15.177809,-1.0,6.0,1.66,0.33,67.0,33.0,1.0,28.0,21.0,17.0,483.26,10.5,8.71,0.46,0.55
25.19609,100,17.055327,0.66,6.0,25.2,0.25,75.0,25.0,47.0,5.0,18.0,5.0,331.39,4.36,19.34,0.34,0.39
25.794655,100,19.094968,0.53,3.0,25.79,0.21,79.0,21.0,79.0,0.0,0.0,0.0,408.26,4.3,30.59,0.2,0.63
52.791466,100,20.346045,0.65,3.0,52.79,0.05,95.0,5.0,95.0,0.0,0.0,0.0,392.28,2.69,38.59,0.15,0.48
1.8313576,100,22.096683,0.62,3.0,1.83,0.35,65.0,35.0,65.0,0.0,0.0,0.0,433.93,2.02,24.21,0.28,0.34
64.239876,100,23.975064,0.77,2.0,64.24,0.07,93.0,7.0,91.0,0.0,2.0,0.0,234.75,4.24,21.4,0.24,0.47
60.401802,100,25.810048,0.72,2.0,60.4,0.09,91.0,9.0,89.0,1.0,1.0,0.0,238.11,2.98,29.61,0.18,0.6
56.285923,100,27.773523,0.61,3.0,56.29,0.04,96.0,4.0,94.0,1.0,1.0,0.0,372.65,3.41,33.67,0.27,0.7
40.729637,100,29.51662,0.58,3.0,40.73,0.12,88.0,12.0,88.0,0.0,0.0,0.0,401.4,3.02,27.29,0.31,0.68
37.283104,100,31.267073,0.62,2.0,37.28,0.2,80.0,20.0,79.0,1.0,0.0,0.0,284.68,5.12,23.43,0.21,0.46
64.58784,100,32.547172,0.68,3.0,64.59,0.02,98.0,2.0,94.0,1.0,1.0,2.0,321.21,7.8,23.26,0.55,0.59
51.38093,100,34.276483,0.87,5.0,51.38,0.18,82.0,18.0,60.0,10.0,6.0,6.0,154.74,6.55,24.74,0.19,0.31
48.52134,100,36.031684,0.6,3.0,48.52,0.08,92.0,8.0,75.0,7.0,2.0,8.0,386.25,12.17,11.85,0.41,0.61
41.831635,100,37.999058,-1.0,2.0,41.83,0.13,87.0,13.0,84.0,0.0,2.0,1.0,370.38,6.4,23.79,0.46,0.55
57.771095,100,39.676215,0.67,2.0,57.77,0.04,96.0,4.0,92.0,2.0,2.0,0.0,357.19,14.4,10.58,0.48,0.71
62.16366,100,41.256741,0.64,1.0,62.16,0.0,100.0,0.0,100.0,0.0,0.0,0.0,378.99,4.0,34.57,0.46,0.67
36.400818,100,42.353431,0.74,1.0,36.4,0.22,78.0,22.0,76.0,0.0,0.0,2.0,252.02,7.0,19.1,0.25,0.42
66.27816,100,43.444521,0.73,0.0,66.28,0.07,93.0,7.0,85.0,3.0,3.0,2.0,212.85,12.53,15.75,0.32,0.36
45.19654,100,44.822536,0.84,1.0,45.2,0.16,84.0,16.0,83.0,1.0,0.0,0.0,343.56,1.82,32.52,0.37,0.41
50.53514,100,46.482214,-1.0,3.0,50.54,0.11,89.0,11.0,89.0,0.0,0.0,0.0,309.29,6.58,17.92,0.14,0.62
66.30533,100,48.254511,0.81,2.0,66.31,0.0,100.0,0.0,100.0,0.0,0.0,0.0,337.61,10.24,24.69,0.47,0.6
38.213436,100,50.064126,0.58,1.0,38.21,0.14,86.0,14.0,86.0,0.0,0.0,0.0,393.47,5.91,19.68,0.59,0.62
64.29702,100,51.946444,0.68,0.0,64.3,0.0,100.0,0.0,100.0,0.0,0.0,0.0,357.67,6.52,29.31,0.27,0.55
62.43441,100,53.613813,0.7,2.0,62.43,0.03,97.0,3.0,97.0,0.0,0.0,0.0,326.09,10.89,17.93,0.43,0.64
55.135483,100,55.116384,0.62,2.0,55.14,0.03,97.0,3.0,97.0,0.0,0.0,0.0,401.26,2.74,35.43,0.55,0.59
52.77437,100,56.27755,0.64,3.0,52.77,0.09,91.0,9.0,90.0,1.0,0.0,0.0,321.84,6.77,20.69,0.43,0.41
41.097954,100,57.415278,0.65,3.0,41.1,0.16,84.0,16.0,84.0,0.0,0.0,0.0,320.94,9.61,18.44,0.44,0.42
67.98487,100,59.475278,0.59,2.0,67.98,0.01,99.0,1.0,97.0,2.0,0.0,0.0,303.88,6.45,23.34,0.34,0.38
50.5263,100,62.086002,0.64,3.0,50.53,0.07,93.0,7.0,93.0,0.0,0.0,0.0,382.06,3.58,34.25,0.49,0.93
70.67203,100,63.377203,0.71,2.0,70.67,0.0,100.0,0.0,100.0,0.0,0.0,0.0,293.99,13.78,11.6,0.29,0.83
66.499794,100,64.831972,0.59,0.0,66.5,0.04,96.0,4.0,94.0,2.0,0.0,0.0,266.36,5.06,27.77,0.31,0.41
69.31067,100,65.875147,0.69,3.0,69.31,0.0,100.0,0.0,100.0,0.0,0.0,0.0,307.59,10.08,20.86,0.38,0.61
58.117355,100,67.09007,0.75,0.0,58.12,0.07,93.0,7.0,93.0,0.0,0.0,0.0,300.51,11.35,14.43,0.47,0.33
60.315083,100,68.259562,0.8,0.0,60.32,0.02,98.0,2.0,98.0,0.0,0.0,0.0,364.77,13.41,13.02,0.61,0.42
34.8382,100,69.46737,-1.0,0.0,34.84,0.23,77.0,23.0,76.0,0.0,1.0,0.0,379.35,1.28,30.36,0.25,0.39
58.1438,100,70.700963,0.62,2.0,58.14,0.03,97.0,3.0,97.0,0.0,0.0,0.0,370.28,3.13,34.4,0.38,0.35
54.990353,100,72.085115,0.56,0.0,54.99,0.0,100.0,0.0,100.0,0.0,0.0,0.0,450.65,10.93,18.09,0.45,0.34
10.1198225,100,73.32427,0.55,3.0,10.12,0.27,73.0,27.0,72.0,1.0,0.0,0.0,492.02,2.77,21.68,0.41,0.44
27.173626,100,74.519283,0.75,0.0,27.17,0.27,73.0,27.0,67.0,3.0,3.0,0.0,258.64,4.36,25.7,0.42,0.42
