#{"t_start": 1756446849.9953153, "env_id": "None"}
r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,ep_rejected_requests,ep_deploy_all,ep_ffd,ep_ffi,ep_bf1b1,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,executionTime
54.11389,100,4.960822,0.94,5.0,54.11,0.14,86.0,14.0,43.0,18.0,12.0,13.0,208.77,4.44,22.54,0.25,0.0
36.455452,100,5.291728,-1.0,7.0,36.46,0.2,80.0,20.0,43.0,16.0,15.0,6.0,295.01,10.98,18.35,0.28,0.32
13.533466,100,5.586889,0.61,2.0,13.53,0.25,75.0,25.0,44.0,7.0,14.0,10.0,486.73,8.15,25.14,0.18,0.31
28.615623,100,5.914393,-1.0,7.0,28.62,0.22,78.0,22.0,39.0,15.0,12.0,12.0,351.73,8.88,20.62,0.31,0.28
43.26212,100,6.242858,0.79,0.0,43.26,0.11,89.0,11.0,50.0,11.0,14.0,14.0,390.92,9.4,18.99,0.18,0.31
38.460117,100,6.57096,0.75,5.0,38.46,0.21,79.0,21.0,37.0,15.0,14.0,13.0,248.09,7.55,16.78,0.24,0.31
47.02384,100,6.962411,0.87,4.0,47.02,0.17,83.0,17.0,31.0,11.0,22.0,19.0,229.4,7.5,16.78,0.21,0.31
73.517586,100,7.324449,0.91,0.0,73.52,0.19,81.0,19.0,26.0,18.0,22.0,15.0,130.28,2.34,16.3,0.07,0.37
27.663054,100,7.655202,-1.0,6.0,27.66,0.16,84.0,16.0,49.0,12.0,12.0,11.0,480.72,9.74,22.07,0.31,0.34
36.231243,100,7.994991,0.6,3.0,36.23,0.21,79.0,21.0,42.0,17.0,12.0,8.0,276.28,5.19,23.73,0.32,0.31
43.377876,100,8.347074,0.9,4.0,43.38,0.19,81.0,19.0,40.0,17.0,12.0,12.0,230.67,7.51,18.89,0.18,0.32
58.29518,100,8.672317,1.0,7.0,58.3,0.32,68.0,32.0,29.0,18.0,15.0,6.0,202.34,2.39,20.52,0.19,0.33
30.193432,100,9.011981,0.71,0.0,30.19,0.23,77.0,23.0,31.0,18.0,13.0,15.0,309.87,7.77,18.32,0.27,0.31
40.61227,100,9.337703,0.93,3.0,40.61,0.21,79.0,21.0,42.0,13.0,13.0,11.0,220.88,7.92,16.94,0.2,0.32
30.351622,100,9.665169,0.94,0.0,30.35,0.28,72.0,28.0,36.0,17.0,13.0,6.0,190.37,4.55,21.15,0.28,0.31
